Usage_ID,Account_ID,Timestamp,Service,SKU,Usage_Value,Unit,Cost,Currency,FX_Rate,Region,Resource_ID,Tag_Owner,Tag_Env,Charge_Type,Purchase_Type,Department,Project,CPU_Util,Memory_Util,Incident_ID,Ticket_ID,Price_Version,SLA_Event,Log_Skew_Seconds,Account_Clean,Account_In_Master,TS_UTC,TS_Parse_Failed,TS_Garbage_Flag,SKU_Clean,SKU_Unmatched,SKU_Changed,Service_Clean,Unit_Canonical,Usage_Converted,Unit_Dimension_Mismatch,Cost_Clean,Currency_Clean,Is_Negative_Cost,Is_Zero_Cost,Region_Clean,Region_Unresolvable,Is_Duplicate,Duplicate_Keep,Charge_Type_Clean,Charge_Cost_Contradiction,Is_Usage_Anomaly,Anomaly_Z_Score,Tag_Owner_Clean,Tag_Env_Clean,Is_Orphan_Resource,Is_Zombie_Resource,Resource_Cloud_Mismatch,Expected_Price_Version,Price_Version_Mismatch,Price_Version_Clean,FX_Rate_Clean,Cost_USD,FX_Missing,FX_Wrong_Direction,CPU_Clean,Mem_Clean,Is_Idle,Is_Overutilized,Purchase_Type_Clean,Purchase_Type_Mismatch,Dept_Clean,Project_Clean,Is_Unknown_Dept,Is_Unknown_Project,Is_Invalid_Combo,SLA_Event_Clean,SLA_Messy_Flag,SLA_Event_Clean_Str,Log_Skew_Clean,Is_High_Skew
U00523,AZ-ACCT-025,2026/01/27 16:26,Database,SQLDb-S2,24647.8,minutes,€758.64,EUR,1.08,canadacentral,az-vm-186,security,stage,True,On Demand,hr,gamma,24.5,92.8,,,v1,false,57.7,AZ-ACCT-025,True,2026-01-27 16:26:00+00:00,False,False,SQLDb-S2,False,False,Database,seconds,1478868.0,False,758.64,EUR,False,False,canadacentral,False,False,True,Usage,False,False,-0.07,security,staging,False,False,False,v1,False,v1,1.08,819.3312000000001,False,False,24.5,92.8,False,True,on-demand,True,HR,GAMMA,False,False,False,False,True,False,57.7,False
U05552,AZ-ACCT-027,2026-03-07T08:53:00Z,Storage,blob-hot,880.15,Gb,$60.37,dollar,1.0,CENTRALINDIA,az-vm-148,DevOps,staging,refund,SPOT,UNKNOWN_DEPT,PHOENIX,,,,,v3,FALSE,89.9,AZ-ACCT-027,True,2026-03-07 08:53:00+00:00,False,False,Blob-Hot,False,True,Storage,GB,880.15,False,60.37,USD,False,False,centralindia,False,False,True,Refund,False,False,-0.885,devops,staging,False,False,False,v3,False,v3,1.0,60.37,False,False,,,False,False,spot,True,UNKNOWN_DEPT,PHOENIX,True,False,False,False,True,False,89.9,True
U09485,GCP-ACCT-044,2026-03-10T13:11:00-05:00,Compute,GCE-n1-standard-4,6182.58,hrs,180.15,inr,0.012,europe west1,gcp-inst-213,data,production,Refund,RESERVED,Operations,DELTA,28.3,99.5,,,v3,false,93.7,GCP-ACCT-044,True,2026-03-10 18:11:00+00:00,False,False,GCE-n1-standard-4,False,False,Compute,seconds,22257288.0,False,180.15,INR,False,False,europe-west1,False,True,True,Refund,False,False,-1.038,data,production,False,False,False,v3,False,v3,0.012,2.1618,False,False,28.3,99.5,False,True,reserved,True,OPERATIONS,DELTA,False,False,False,False,True,False,93.7,True
U00986,GCP-ACCT-050,27-02-2026 21:46:00,Compute,GCE-n1-standard-8,3959.7,minutes,383.79,Indian Rupee,,us-west1,gcp-inst-282,security,production,Credit,Reserved,engineering,beta,43.9,77.6,,,v2,false,2.6,GCP-ACCT-050,True,2026-02-27 21:46:00+00:00,False,False,GCE-n1-standard-8,False,False,Compute,seconds,237582.0,False,383.79,INR,False,False,us-west1,False,False,True,Credit,False,False,-1.046,security,production,False,False,False,v2,False,v2,0.012,4.60548,True,False,43.9,77.6,False,False,reserved,True,ENGINEERING,BETA,False,False,False,False,True,False,2.6,False
U04477,AWS-ACCT-014,20-02-2026 21:05:00,Database,RDS-db.m5.large,28432.25,secs,"$1,882.17",USD,1.0,us west 2,aws-ec2-089,front-end,production,Billable,on-demand,HR,gamma,42.3,83.9,,T-137,v2,No,-18.4,AWS-ACCT-014,True,2026-02-20 21:05:00+00:00,False,False,RDS-db.m5.large,False,False,Database,seconds,28432.25,False,1882.17,USD,False,False,us-west-2,False,False,True,Usage,False,False,0.166,frontend,production,False,False,False,v2,False,v2,1.0,1882.17,False,False,42.3,83.9,False,True,on-demand,False,HR,GAMMA,False,False,False,False,True,False,-18.4,False
U06027,AWS-ACCT-001,2026-03-01T07:13:00+01:00,Database,RDS-db.m5.large,17329.25,hours,219.04,INR,,us-east-1,aws-ec2-001,frontend,DEV,BILLABLE,SPOT,Security,beta,75.3,2.4,,T-191,v3,no,-60.6,AWS-ACCT-001,True,2026-03-01 06:13:00+00:00,False,False,RDS-db.m5.large,False,False,Database,seconds,62385300.0,False,219.04,INR,False,False,us-east-1,False,False,True,Usage,False,False,-0.417,frontend,development,False,False,False,v3,False,v3,0.012,2.62848,True,False,75.3,2.4,False,False,spot,True,SECURITY,BETA,False,False,False,False,True,False,-60.6,True
U08190,AWS-ACCT-010,2026-03-02T19:20:00-08:00,COMPUTE,EC2-t3.medium,22779.79,sec,3455.12,INR,0.012,ap-south-1,aws-ec2-091,Security,production,free,reserved,Data_Science,nova,93.8,83.2,,,v3,No,4.4,AWS-ACCT-010,True,2026-03-03 03:20:00+00:00,False,False,EC2-t3.medium,False,False,Compute,seconds,22779.79,False,3455.12,INR,False,False,ap-south-1,False,False,True,Free_Tier,True,False,-0.182,security,production,False,False,False,v3,False,v3,0.012,41.461439999999996,False,False,93.8,83.2,False,True,reserved,False,DATA_SCIENCE,NOVA,False,False,False,False,True,False,4.4,False
U04344,  AWS-ACCT-005 ,2026/01/04 00:42,STORAGE,S3-IA,1076.99,GB,96.84,Us Dollar,1.0,eu-west-1,aws-ec2-101,security,development,REFUND,ON-DEMAND,HR,gamma,,,INC-023,T-067,v1,0,110.4,AWS-ACCT-005,True,2026-01-04 00:42:00+00:00,False,False,S3-IA,False,False,Storage,GB,1076.99,False,96.84,USD,False,False,eu-west-1,False,False,True,Refund,False,False,-0.866,security,development,False,False,False,v1,False,v1,1.0,96.84,False,False,,,False,False,on-demand,True,HR,GAMMA,False,False,False,False,True,False,110.4,True
U08480,GCP-ACCT-042,2026-03-22T01:30:00+05:30,compute,GCE-n1-standard-4,29556.28,seconds,834.15,euro,1.08,us-central1,gcp-inst-260,DATA,production,credit,reserved,DEVOPS,gamma,91.2,38.3,,,v3,1,-84.6,GCP-ACCT-042,True,2026-03-21 20:00:00+00:00,False,False,GCE-n1-standard-4,False,False,Compute,seconds,29556.28,False,834.15,EUR,False,False,us-central1,False,False,True,Credit,False,False,0.252,data,production,False,False,False,v3,False,v3,1.08,900.8820000000001,False,False,91.2,38.3,False,True,reserved,False,DEVOPS,GAMMA,False,False,False,True,True,True,-84.6,True
U03646,AZ-ACCT-021,2026-01-15T03:53:00+05:30,compute,UNKNOWN-SKU-630,39444.87,hrs,3277.48,inr,0.012,canadacentral,az-vm-150,devops,staging,TRUE,Reserved,OPERATIONS,Alpha,61.4,88.8,INC-067,,v1,0,34.3,AZ-ACCT-021,True,2026-01-14 22:23:00+00:00,False,False,,True,False,Compute,seconds,142001532.0,False,3277.48,INR,False,False,canadacentral,False,False,True,Usage,False,False,,devops,staging,False,False,False,v1,False,v1,0.012,39.32976,False,False,61.4,88.8,False,True,reserved,True,OPERATIONS,ALPHA,False,False,False,False,True,False,34.3,False
