Log_ID,Source,Timestamp,Reference_Timestamp,Skew_Seconds,Resource_ID,Log_Level,Message
LOG-0001,cloudwatch,2026/02/23 03:55,2026-02-23T03:55:00Z,29.7,az-vm-196,INFO,Certificate renewal completed
LOG-0002,azure_monitor,2026-03-09T01:19:17-05:00,2026-03-09T01:20:00Z,-42.1,gcp-inst-229,INFO,Auto-scaling triggered: adding 2 instances
LOG-0003,cloudwatch,2026-02-25T09:48:52Z,2026-02-25T09:50:00Z,-67.9,az-vm-135,INFO,Memory allocation failure on node
LOG-0004,azure_monitor,2026-03-06T13:49:31Z,2026-03-06T13:49:00Z,31.4,aws-ec2-101,WARN,Auto-scaling triggered: adding 2 instances
LOG-0005,syslog,2026-01-10T08:47:18Z,2026-01-10T08:49:00Z,-101.1,az-vm-179,WARN,Rate limit exceeded for API endpoint
LOG-0006,syslog,2026/02/14 19:42,2026-02-14T19:41:00Z,78.3,gcp-inst-226,INFO,Auto-scaling triggered: adding 2 instances
LOG-0007,cloudwatch,2026-01-26T21:21:16+01:00,2026-01-26T21:23:00Z,-103.7,aws-ec2-076,ERROR,Connection timeout after 30s
LOG-0008,app_log,2026-02-13T22:49:32+01:00,2026-02-13T22:51:00Z,-87.0,gcp-inst-268,ERROR,Failed to resolve DNS for endpoint
LOG-0009,syslog,2026/03/03 19:46,2026-03-03T19:46:00Z,23.4,gcp-inst-270,INFO,Certificate renewal completed
LOG-0010,cloudwatch,2026-01-22T01:19:41-08:00,2026-01-22T01:18:00Z,101.8,az-vm-185,INFO,Connection timeout after 30s
LOG-0011,syslog,2026-02-07 20:22:37,2026-02-07T20:24:00Z,-82.8,gcp-inst-273,INFO,Health check passed successfully
LOG-0012,app_log,2026-01-26T16:29:25-05:00,2026-01-26T16:29:00Z,,az-vm-202,WARN,Connection timeout after 30s
LOG-0013,gcp_logging,2026-02-14 21:23:18,2026-02-14T21:22:00Z,78.1,aws-ec2-016,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0014,app_log,2026-01-20 10:58:08,2026-01-20T10:57:00Z,68.2,az-vm-117,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0015,app_log,2026-03-15T04:27:49+00:00,2026-03-15T04:27:00Z,49.2,gcp-inst-278,WARN,Health check passed successfully
LOG-0016,azure_monitor,2026/02/09 22:45,2026-02-09T22:45:00Z,49.1,aws-ec2-081,ERROR,Disk utilization exceeded 90%
LOG-0017,gcp_logging,2026-03-13 17:44:40,2026-03-13T17:46:00Z,-79.1,gcp-inst-212,DEBUG,Certificate renewal completed
LOG-0018,azure_monitor,26-02-2026 23:59:16,2026-02-26T23:59:00Z,16.4,aws-ec2-055,WARN,Health check passed successfully
LOG-0019,azure_monitor,2026/01/04 19:37,2026-01-04T19:39:00Z,-94.0,az-vm-184,INFO,Backup completed successfully
LOG-0020,syslog,2026-01-18T16:54:25Z,2026-01-18T16:54:00Z,25.4,aws-ec2-071,WARN,Auto-scaling triggered: adding 2 instances
LOG-0021,syslog,2026-01-29T01:25:01+00:00,2026-01-29T01:26:00Z,-58.2,aws-ec2-105,INFO,Health check passed successfully
LOG-0022,syslog,2026-02-26T19:31:44Z,2026-02-26T19:31:00Z,44.0,aws-ec2-022,DEBUG,Rate limit exceeded for API endpoint
LOG-0023,cloudwatch,2026-02-20T19:47:04Z,2026-02-20T19:47:00Z,4.3,gcp-inst-232,DEBUG,Connection timeout after 30s
LOG-0024,cloudwatch,2026-02-01T16:35:44-05:00,2026-02-01T16:34:00Z,104.1,az-vm-204,ERROR,Certificate renewal completed
LOG-0025,syslog,2026-03-01T05:25:04+01:00,2026-03-01T05:27:00Z,-115.1,aws-ec2-058,WARN,Service restarted after crash
LOG-0026,app_log,2026-03-31 17:06:40,2026-03-31T17:08:00Z,-79.4,aws-ec2-104,DEBUG,Disk utilization exceeded 90%
LOG-0027,cloudwatch,2026-02-02T10:44:25-05:00,2026-02-02T10:44:00Z,25.4,az-vm-186,INFO,Failed to resolve DNS for endpoint
LOG-0028,app_log,2026-02-19T23:50:13Z,2026-02-19T23:50:00Z,13.4,aws-ec2-088,ERROR,Service restarted after crash
LOG-0029,syslog,2026-03-26T04:09:21-05:00,2026-03-26T04:10:00Z,-38.5,az-vm-148,WARN,Disk utilization exceeded 90%
LOG-0030,syslog,2026-01-17T05:59:30Z,2026-01-17T06:00:00Z,-29.6,aws-ec2-003,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0031,cloudwatch,2026-01-28T18:40:35+01:00,2026-01-28T18:42:00Z,-84.6,az-vm-143,WARN,Connection timeout after 30s
LOG-0032,app_log,2026-01-24 04:02:04,2026-01-24T04:03:00Z,-55.6,az-vm-153,ERROR,Disk utilization exceeded 90%
