Resource_ID,Cloud_Provider,Account_ID,Service,Region,Status,Created_At
aws-ec2-001,AWS,AWS-ACCT-001,Compute,us-east-1,active,2025-06-17
aws-ec2-002,AWS,AWS-ACCT-001,Compute,ap-southeast-1,active,2025-11-15
aws-ec2-003,AWS,AWS-ACCT-001,Storage,us-west-2,active,2025-07-07
aws-ec2-004,AWS,AWS-ACCT-001,Storage,eu-west-1,active,2025-08-07
aws-ec2-005,AWS,AWS-ACCT-002,Storage,ap-southeast-1,active,2025-07-06
aws-ec2-006,AWS,AWS-ACCT-002,Database,us-west-2,terminated,2025-06-29
aws-ec2-007,AWS,AWS-ACCT-002,Compute,eu-west-1,active,2025-06-17
aws-ec2-008,AWS,AWS-ACCT-002,Storage,us-west-2,active,2025-08-04
aws-ec2-009,AWS,AWS-ACCT-002,Database,us-east-1,active,2025-10-16
aws-ec2-010,AWS,AWS-ACCT-002,Storage,ap-south-1,active,2025-09-25
aws-ec2-011,AWS,AWS-ACCT-002,Compute,ap-south-1,active,2025-10-08
aws-ec2-012,AWS,AWS-ACCT-002,Compute,ap-south-1,active,2025-07-21
aws-ec2-013,AWS,AWS-ACCT-003,Storage,eu-west-1,active,2025-10-14
aws-ec2-014,AWS,AWS-ACCT-003,Compute,ap-southeast-1,terminated,2025-09-01
aws-ec2-015,AWS,AWS-ACCT-003,Storage,eu-west-1,zombie,2025-10-24
aws-ec2-016,AWS,AWS-ACCT-003,Compute,us-east-1,active,2025-12-12
aws-ec2-017,AWS,AWS-ACCT-003,Database,eu-west-1,active,2025-10-19
aws-ec2-018,AWS,AWS-ACCT-004,Storage,ap-southeast-1,active,2025-07-25
aws-ec2-019,AWS,AWS-ACCT-004,Database,eu-west-1,active,2025-11-19
aws-ec2-020,AWS,AWS-ACCT-004,Database,ap-south-1,active,2025-07-01
aws-ec2-021,AWS,AWS-ACCT-004,Compute,eu-west-1,zombie,2025-06-06
aws-ec2-022,AWS,AWS-ACCT-004,Database,ap-southeast-1,active,2025-06-19
aws-ec2-023,AWS,AWS-ACCT-005,Compute,us-east-1,active,2025-06-19
aws-ec2-024,AWS,AWS-ACCT-005,Database,eu-west-1,active,2025-10-17
aws-ec2-025,AWS,AWS-ACCT-005,Compute,ap-southeast-1,active,2025-09-30
aws-ec2-026,AWS,AWS-ACCT-005,Storage,eu-west-1,active,2025-08-30
aws-ec2-027,AWS,AWS-ACCT-006,Storage,us-west-2,active,2025-11-15
aws-ec2-028,AWS,AWS-ACCT-006,Database,us-east-1,zombie,2025-12-04
aws-ec2-029,AWS,AWS-ACCT-006,Storage,us-east-1,active,2025-09-23
aws-ec2-030,AWS,AWS-ACCT-006,Compute,us-west-2,active,2025-06-20
aws-ec2-031,AWS,AWS-ACCT-006,Storage,ap-southeast-1,active,2025-10-17
aws-ec2-032,AWS,AWS-ACCT-006,Compute,us-east-1,active,2025-07-13
aws-ec2-033,AWS,AWS-ACCT-006,Storage,us-west-2,active,2025-06-16
aws-ec2-034,AWS,AWS-ACCT-007,Storage,us-east-1,active,2025-12-18
aws-ec2-035,AWS,AWS-ACCT-007,Storage,ap-south-1,active,2025-12-18
aws-ec2-036,AWS,AWS-ACCT-007,Database,us-west-2,active,2025-06-15
aws-ec2-037,AWS,AWS-ACCT-007,Database,ap-southeast-1,zombie,2025-08-20
aws-ec2-038,AWS,AWS-ACCT-007,Compute,us-east-1,active,2025-10-14
aws-ec2-039,AWS,AWS-ACCT-008,Compute,ap-southeast-1,active,2025-10-31
aws-ec2-040,AWS,AWS-ACCT-008,Compute,eu-west-1,active,2025-10-24
aws-ec2-041,AWS,AWS-ACCT-008,Compute,ap-southeast-1,active,2025-09-16
aws-ec2-042,AWS,AWS-ACCT-008,Database,ap-southeast-1,active,2025-08-06
aws-ec2-043,AWS,AWS-ACCT-008,Compute,ap-south-1,active,2025-11-19
aws-ec2-044,AWS,AWS-ACCT-009,Storage,ap-south-1,active,2025-06-03
aws-ec2-045,AWS,AWS-ACCT-009,Storage,ap-southeast-1,active,2025-06-19
aws-ec2-046,AWS,AWS-ACCT-009,Database,eu-west-1,active,2025-08-29
aws-ec2-047,AWS,AWS-ACCT-009,Compute,eu-west-1,active,2025-10-18
aws-ec2-048,AWS,AWS-ACCT-009,Database,ap-south-1,active,2025-11-15
aws-ec2-049,AWS,AWS-ACCT-009,Database,us-east-1,active,2025-11-17
aws-ec2-050,AWS,AWS-ACCT-010,Compute,ap-south-1,active,2025-10-20
aws-ec2-051,AWS,AWS-ACCT-010,Compute,ap-south-1,active,2025-08-27
aws-ec2-052,AWS,AWS-ACCT-010,Compute,ap-south-1,active,2025-06-14
aws-ec2-053,AWS,AWS-ACCT-010,Compute,us-west-2,terminated,2025-08-25
aws-ec2-054,AWS,AWS-ACCT-011,Database,ap-south-1,active,2025-11-28
aws-ec2-055,AWS,AWS-ACCT-011,Storage,ap-southeast-1,zombie,2025-06-20
aws-ec2-056,AWS,AWS-ACCT-011,Database,eu-west-1,active,2025-10-28
aws-ec2-057,AWS,AWS-ACCT-011,Database,eu-west-1,terminated,2025-09-02
aws-ec2-058,AWS,AWS-ACCT-011,Compute,ap-south-1,active,2025-06-27
aws-ec2-059,AWS,AWS-ACCT-012,Database,us-west-2,active,2025-07-31
aws-ec2-060,AWS,AWS-ACCT-012,Compute,eu-west-1,terminated,2025-12-06
aws-ec2-061,AWS,AWS-ACCT-012,Storage,us-west-2,active,2025-08-03
aws-ec2-062,AWS,AWS-ACCT-012,Storage,eu-west-1,active,2025-06-10
aws-ec2-063,AWS,AWS-ACCT-012,Storage,eu-west-1,active,2025-08-29
aws-ec2-064,AWS,AWS-ACCT-012,Storage,eu-west-1,active,2025-09-11
aws-ec2-065,AWS,AWS-ACCT-013,Storage,us-east-1,active,2025-11-12
aws-ec2-066,AWS,AWS-ACCT-013,Database,us-west-2,active,2025-08-24
aws-ec2-067,AWS,AWS-ACCT-013,Compute,us-east-1,active,2025-10-27
aws-ec2-068,AWS,AWS-ACCT-013,Storage,us-east-1,active,2025-12-04
aws-ec2-069,AWS,AWS-ACCT-013,Storage,us-west-2,active,2025-09-07
aws-ec2-070,AWS,AWS-ACCT-013,Database,eu-west-1,active,2025-06-01
aws-ec2-071,AWS,AWS-ACCT-014,Database,eu-west-1,active,2025-11-18
aws-ec2-072,AWS,AWS-ACCT-014,Storage,ap-southeast-1,active,2025-12-02
aws-ec2-073,AWS,AWS-ACCT-014,Storage,ap-southeast-1,active,2025-09-12
aws-ec2-074,AWS,AWS-ACCT-014,Database,ap-south-1,active,2025-11-18
aws-ec2-075,AWS,AWS-ACCT-014,Storage,eu-west-1,active,2025-10-19
aws-ec2-076,AWS,AWS-ACCT-014,Compute,ap-south-1,active,2025-10-27
aws-ec2-077,AWS,AWS-ACCT-014,Database,ap-south-1,active,2025-07-25
aws-ec2-078,AWS,AWS-ACCT-014,Database,us-west-2,active,2025-12-06
aws-ec2-079,AWS,AWS-ACCT-015,Database,us-east-1,active,2025-11-06
aws-ec2-080,AWS,AWS-ACCT-015,Storage,us-east-1,active,2025-11-20
aws-ec2-081,AWS,AWS-ACCT-015,Storage,eu-west-1,active,2025-06-12
aws-ec2-082,AWS,AWS-ACCT-015,Compute,us-west-2,active,2025-09-25
aws-ec2-083,AWS,AWS-ACCT-015,Storage,ap-southeast-1,active,2025-10-05
aws-ec2-084,AWS,AWS-ACCT-016,Compute,eu-west-1,terminated,2025-12-10
aws-ec2-085,AWS,AWS-ACCT-016,Compute,us-west-2,active,2025-11-26
aws-ec2-086,AWS,AWS-ACCT-016,Database,us-west-2,zombie,2025-08-03
aws-ec2-087,AWS,AWS-ACCT-016,Compute,us-west-2,active,2025-10-14
aws-ec2-088,AWS,AWS-ACCT-016,Database,ap-southeast-1,active,2025-09-22
aws-ec2-089,AWS,AWS-ACCT-016,Database,ap-southeast-1,active,2025-09-23
aws-ec2-090,AWS,AWS-ACCT-016,Compute,us-west-2,active,2025-11-11
aws-ec2-091,AWS,AWS-ACCT-017,Database,us-west-2,active,2025-06-20
aws-ec2-092,AWS,AWS-ACCT-017,Database,ap-south-1,active,2025-10-17
aws-ec2-093,AWS,AWS-ACCT-017,Compute,eu-west-1,active,2025-07-10
aws-ec2-094,AWS,AWS-ACCT-017,Database,eu-west-1,zombie,2025-09-13
aws-ec2-095,AWS,AWS-ACCT-017,Storage,ap-southeast-1,active,2025-09-16
aws-ec2-096,AWS,AWS-ACCT-017,Storage,ap-southeast-1,terminated,2025-12-13
aws-ec2-097,AWS,AWS-ACCT-018,Storage,us-west-2,zombie,2025-08-30
aws-ec2-098,AWS,AWS-ACCT-018,Storage,us-west-2,active,2025-09-16
aws-ec2-099,AWS,AWS-ACCT-018,Database,ap-southeast-1,active,2025-10-03
aws-ec2-100,AWS,AWS-ACCT-018,Compute,ap-south-1,terminated,2025-08-26
aws-ec2-101,AWS,AWS-ACCT-018,Database,us-west-2,active,2025-07-03
aws-ec2-102,AWS,AWS-ACCT-018,Database,ap-southeast-1,zombie,2025-09-09
aws-ec2-103,AWS,AWS-ACCT-018,Database,ap-southeast-1,active,2025-09-18
aws-ec2-104,AWS,AWS-ACCT-018,Compute,us-west-2,active,2025-08-23
aws-ec2-105,AWS,AWS-ACCT-019,Storage,ap-south-1,active,2025-08-11
aws-ec2-106,AWS,AWS-ACCT-019,Storage,ap-south-1,active,2025-12-09
aws-ec2-107,AWS,AWS-ACCT-019,Database,us-east-1,active,2025-11-14
aws-ec2-108,AWS,AWS-ACCT-019,Compute,us-east-1,active,2025-07-22
aws-ec2-109,AWS,AWS-ACCT-019,Compute,ap-southeast-1,active,2025-11-19
aws-ec2-110,AWS,AWS-ACCT-020,Database,eu-west-1,active,2025-09-03
aws-ec2-111,AWS,AWS-ACCT-020,Compute,ap-southeast-1,active,2025-06-30
aws-ec2-112,AWS,AWS-ACCT-020,Compute,ap-south-1,terminated,2025-08-19
aws-ec2-113,AWS,AWS-ACCT-020,Database,us-west-2,active,2025-06-20
az-vm-114,Azure,AZ-ACCT-021,Database,westeurope,active,2025-11-23
