Date,Service_Clean,SKU_Clean,Region_Clean,Total_Cost_USD,Total_Usage,Log_Count
2025-12-31,Database,SQLDb-S2,canadacentral,36.01416,31066.25,1
2025-12-31,Storage,Blob-Hot,eastus,37.53,0.4512,1
2026-01-01,Compute,EC2-t3.large,ap-south-1,507.9336,89830.03,3
2026-01-01,Compute,EC2-t3.large,ap-southeast-1,867.51,114468444.0,1
2026-01-01,Compute,EC2-t3.large,eu-west-1,2.88,124.33,1
2026-01-01,Compute,EC2-t3.large,us-east-1,2157.92496,121847216.83,2
2026-01-01,Compute,EC2-t3.large,us-west-2,588.17,173202.78,1
2026-01-01,Compute,EC2-t3.medium,ap-south-1,3798.66244,122958422.42,2
2026-01-01,Compute,EC2-t3.medium,ap-southeast-1,467.4412,80571.64,2
2026-01-01,Compute,EC2-t3.medium,eu-west-1,17.16204,24179.91,1
2026-01-01,Compute,EC2-t3.medium,us-east-1,544.806,52859988.0,1
2026-01-01,Compute,EC2-t3.medium,us-west-2,372.36718,101089605.0,2
2026-01-01,Compute,EC2-t3.xlarge,ap-southeast-1,1252.4062000000001,57020685.6,3
2026-01-01,Compute,EC2-t3.xlarge,us-east-1,470.79,120638472.6,2
2026-01-01,Compute,GCE-n1-standard-2,asia-south1,1.55316,1463.89,1
2026-01-01,Compute,GCE-n1-standard-2,us-central1,11.27052,35407.48,1
2026-01-01,Compute,GCE-n1-standard-4,asia-southeast1,39.47172,2336724.0,1
2026-01-01,Compute,GCE-n1-standard-8,asia-southeast1,99.4572,1244443.2,1
2026-01-01,Compute,GCE-n1-standard-8,europe-west1,8.63976,33284.07,1
2026-01-01,Compute,GCE-n1-standard-8,us-west1,2720.3560800000005,199723500.0,3
2026-01-01,Compute,UNKNOWN,eu-west-1,0.31512,7726983.6,2
2026-01-01,Compute,UNKNOWN,us-central1,353.67840000000007,2444210.4,1
2026-01-01,Compute,VM-Standard_D2s,canadacentral,1628.6508,29910.43,1
2026-01-01,Compute,VM-Standard_D2s,centralindia,5025.3048,2795510614.8,2
2026-01-01,Compute,VM-Standard_D2s,eastus,44.59572000000001,86507.26,2
2026-01-01,Compute,VM-Standard_D2s,westeurope,365.19,226513.8,1
2026-01-01,Compute,VM-Standard_D4s,canadacentral,511.556,503082.6,1
2026-01-01,Compute,VM-Standard_D4s,centralindia,937.1220200000001,1006426.71,3
2026-01-01,Compute,VM-Standard_D4s,eastus,2289.38,157313916.0,1
2026-01-01,Compute,VM-Standard_D4s,westeurope,1397.844,137551572.0,1
2026-01-01,Compute,VM-Standard_D8s,canadacentral,2434.1472000000003,2244411.6,1
2026-01-01,Compute,VM-Standard_D8s,eastus,353.38704,62927.579999999994,3
2026-01-01,Compute,VM-Standard_D8s,westeurope,9.78264,163820412.0,1
2026-01-01,Database,CloudSQL-db.standard-2,asia-southeast1,3330.2431,110449980.62,3
2026-01-01,Database,CloudSQL-db.standard-2,us-central1,1523.0066399999998,1276791.35,2
2026-01-01,Database,CloudSQL-db.standard-2,us-west1,12.12552,32904879.25,2
2026-01-01,Database,RDS-db.m5.large,ap-south-1,5.48,2596.4,1
2026-01-01,Database,RDS-db.m5.large,ap-southeast-1,4626.90312,35974329.17,3
2026-01-01,Database,RDS-db.m5.large,eu-west-1,68.26,23770.59,1
2026-01-01,Database,RDS-db.m5.large,us-east-1,2916.85936,19004854.22,2
2026-01-01,Database,RDS-db.m5.large,us-west-2,9266.2206,196545342.44,7
2026-01-01,Database,SQLDb-S2,canadacentral,3646.4204,42550.91,2
2026-01-01,Database,SQLDb-S2,centralindia,2749.74,104001624.0,1
2026-01-01,Database,SQLDb-S2,eastus,1098.2687999999998,1914242.8800000001,2
2026-01-01,Database,SQLDb-S2,southeastasia,1752.1835999999998,178858116.6,3
2026-01-01,Database,SQLDb-S2,westeurope,1390.0936,308054241.0,3
2026-01-01,Storage,Blob-Cool,canadacentral,16.5608,1.2705,1
2026-01-01,Storage,Blob-Cool,centralindia,171.3744,39675.88,1
2026-01-01,Storage,Blob-Cool,eastus,426.5953,1662.3023,2
2026-01-01,Storage,Blob-Cool,westeurope,255.39924,9478.75,2
2026-01-01,Storage,Blob-Hot,canadacentral,65.09,957.31,1
2026-01-01,Storage,Blob-Hot,centralindia,211.9824,2853.7648,2
2026-01-01,Storage,Blob-Hot,eastus,1.48188,3331.58,1
2026-01-01,Storage,Blob-Hot,southeastasia,3.3966000000000003,3350.08,1
2026-01-01,Storage,Blob-Hot,westeurope,820.3298,11356.65,4
2026-01-01,Storage,GCS-Nearline,asia-south1,35.89468,11866.08,2
2026-01-01,Storage,GCS-Nearline,asia-southeast1,52.25036,4288.8063,2
2026-01-01,Storage,GCS-Nearline,europe-west1,0.47556,499.05,1
