Month,Service_Clean,SKU_Clean,Region_Clean,Total_Cost_USD,Total_Usage,Log_Count
2025-12,Database,SQLDb-S2,canadacentral,36.01416,31066.25,1
2025-12,Storage,Blob-Hot,eastus,37.53,0.4512,1
2026-01,Compute,EC2-t3.large,UNKNOWN,11064.98184,243543746.99,9
2026-01,Compute,EC2-t3.large,ap-south-1,26190.51316,739729150.6899999,34
2026-01,Compute,EC2-t3.large,ap-southeast-1,40088.82808,1390267509.1599998,32
2026-01,Compute,EC2-t3.large,eu-west-1,26739.709160000002,2612342982.62,36
2026-01,Compute,EC2-t3.large,us-east-1,4045.08968,768823784.8,24
2026-01,Compute,EC2-t3.large,us-west-2,33790.89746,734120523.11,27
2026-01,Compute,EC2-t3.medium,UNKNOWN,4214.6596,2883916.33,5
2026-01,Compute,EC2-t3.medium,ap-south-1,38265.867940000004,774267503.26,31
2026-01,Compute,EC2-t3.medium,ap-southeast-1,20981.42916,388520941.02,26
2026-01,Compute,EC2-t3.medium,eu-west-1,15988.0406,890888876.3199999,22
2026-01,Compute,EC2-t3.medium,us-east-1,18387.22548,1067618659.25,23
2026-01,Compute,EC2-t3.medium,us-west-2,12947.12278,766290365.91,26
2026-01,Compute,EC2-t3.xlarge,UNKNOWN,4197.608400000001,336482968.37,6
2026-01,Compute,EC2-t3.xlarge,ap-south-1,21938.24666,3616905328.46,31
2026-01,Compute,EC2-t3.xlarge,ap-southeast-1,21001.37028,4499949274.93,24
2026-01,Compute,EC2-t3.xlarge,eu-west-1,21136.363820000002,836748886.84,24
2026-01,Compute,EC2-t3.xlarge,us-east-1,28256.63734,5985112630.179999,40
2026-01,Compute,EC2-t3.xlarge,us-west-2,26702.4704,1061824590.87,31
2026-01,Compute,GCE-n1-standard-2,UNKNOWN,19.08868,382149.0,2
2026-01,Compute,GCE-n1-standard-2,asia-south1,20401.9739,664271280.8,24
2026-01,Compute,GCE-n1-standard-2,asia-southeast1,24724.06324,446761743.05,29
2026-01,Compute,GCE-n1-standard-2,europe-west1,12659.99256,571740258.87,19
2026-01,Compute,GCE-n1-standard-2,us-central1,9038.21594,2496262780.78,21
2026-01,Compute,GCE-n1-standard-2,us-west1,13255.83216,655192714.59,24
2026-01,Compute,GCE-n1-standard-4,UNKNOWN,1.80516,3184.74,1
2026-01,Compute,GCE-n1-standard-4,asia-south1,22566.40206,655082135.53,24
2026-01,Compute,GCE-n1-standard-4,asia-southeast1,7241.25704,624085436.84,20
2026-01,Compute,GCE-n1-standard-4,europe-west1,23808.13498,1248094945.9,27
2026-01,Compute,GCE-n1-standard-4,us-central1,20933.4277,5903729528.92,19
2026-01,Compute,GCE-n1-standard-4,us-west1,18448.14862,1100757898.63,21
2026-01,Compute,GCE-n1-standard-8,asia-south1,11037.698240000002,708867761.05,21
2026-01,Compute,GCE-n1-standard-8,asia-southeast1,15300.393020000001,700655400.56,28
2026-01,Compute,GCE-n1-standard-8,europe-west1,17995.269060000002,932649857.37,26
2026-01,Compute,GCE-n1-standard-8,us-central1,22387.1106,772853463.39,33
2026-01,Compute,GCE-n1-standard-8,us-west1,18477.939,1983766975.3899999,23
2026-01,Compute,UNKNOWN,UNKNOWN,39.25944,2444565.6,1
2026-01,Compute,UNKNOWN,ap-south-1,237.5188,236340.40000000002,2
2026-01,Compute,UNKNOWN,asia-south1,1.59936,13467348.0,1
2026-01,Compute,UNKNOWN,asia-southeast1,37.80912,2346447.6,2
2026-01,Compute,UNKNOWN,canadacentral,986.9757599999999,142043592.93,2
2026-01,Compute,UNKNOWN,centralindia,3133.3572999999997,380761.76,2
2026-01,Compute,UNKNOWN,eastus,2156.564,6223377084.0,3
2026-01,Compute,UNKNOWN,eu-west-1,2441.3221,58739573.019999996,4
2026-01,Compute,UNKNOWN,southeastasia,3903.8922,87744646.8,2
2026-01,Compute,UNKNOWN,us-central1,393.23568000000006,119971917.6,3
2026-01,Compute,UNKNOWN,us-east-1,2380.2864,2850937.41,3
2026-01,Compute,UNKNOWN,us-west-2,5693.13598,103059027.24,5
2026-01,Compute,UNKNOWN,westeurope,1870.65236,659242.6799999999,3
2026-01,Compute,VM-Standard_D2s,UNKNOWN,3434.9204400000003,138740958.76,5
2026-01,Compute,VM-Standard_D2s,canadacentral,41754.819260000004,835826313.21,25
2026-01,Compute,VM-Standard_D2s,centralindia,31969.6528,3749525728.06,27
2026-01,Compute,VM-Standard_D2s,eastus,15354.43424,930938922.5,24
2026-01,Compute,VM-Standard_D2s,southeastasia,23576.27464,409230637.23,17
2026-01,Compute,VM-Standard_D2s,westeurope,27533.076600000004,5116967091.61,23
2026-01,Compute,VM-Standard_D4s,UNKNOWN,2694.23462,60739817.4,4
2026-01,Compute,VM-Standard_D4s,canadacentral,27011.14844,1299964742.7,18
2026-01,Compute,VM-Standard_D4s,centralindia,14847.38772,476456038.78,23
2026-01,Compute,VM-Standard_D4s,eastus,16883.09076,1923737762.53,28
2026-01,Compute,VM-Standard_D4s,southeastasia,23192.08872,194278400.14999998,15
2026-01,Compute,VM-Standard_D4s,westeurope,39835.050740000006,2053265709.64,28
2026-01,Compute,VM-Standard_D8s,UNKNOWN,2891.78024,173037775.8,4
2026-01,Compute,VM-Standard_D8s,canadacentral,34194.6897,1201155103.18,32
2026-01,Compute,VM-Standard_D8s,centralindia,22525.22378,306041432.93,16
2026-01,Compute,VM-Standard_D8s,eastus,14856.71512,2766094299.26,28
2026-01,Compute,VM-Standard_D8s,southeastasia,31138.335140000003,526227197.72,27
2026-01,Compute,VM-Standard_D8s,westeurope,26683.7788,425395514.72,17
2026-01,Database,CloudSQL-db.standard-2,UNKNOWN,2639.81808,115917760.44,4
2026-01,Database,CloudSQL-db.standard-2,asia-south1,57595.76034,17368517338.25,58
2026-01,Database,CloudSQL-db.standard-2,asia-southeast1,38957.94876,2609996266.73,61
2026-01,Database,CloudSQL-db.standard-2,europe-west1,46279.04774,10410413544.79,61
2026-01,Database,CloudSQL-db.standard-2,us-central1,48146.6571,9898641632.67,80
2026-01,Database,CloudSQL-db.standard-2,us-west1,31847.18464,2374708061.73,76
2026-01,Database,RDS-db.m5.large,UNKNOWN,10289.33432,928744528.46,20
2026-01,Database,RDS-db.m5.large,ap-south-1,68432.43026000001,2987158747.36,83
2026-01,Database,RDS-db.m5.large,ap-southeast-1,89113.46106,2799455777.57,98
2026-01,Database,RDS-db.m5.large,eu-west-1,65790.70686,2999240551.69,77
2026-01,Database,RDS-db.m5.large,us-east-1,48884.33908,7854976623.34,86
2026-01,Database,RDS-db.m5.large,us-west-2,65023.56212,3956884216.23,74
2026-01,Database,SQLDb-S2,UNKNOWN,19763.664360000002,483041622.52,16
2026-01,Database,SQLDb-S2,canadacentral,91565.26274,10478625871.18,69
2026-01,Database,SQLDb-S2,centralindia,73607.98376,5815481454.8,72
2026-01,Database,SQLDb-S2,eastus,62311.0886,6409243187.34,64
2026-01,Database,SQLDb-S2,southeastasia,47296.924900000005,7604034594.940001,64
2026-01,Database,SQLDb-S2,westeurope,49756.481680000004,3451655715.81,61
2026-01,Database,UNKNOWN,UNKNOWN,2.43012,2349.43,1
2026-01,Database,UNKNOWN,ap-south-1,4009.5246,42931481.48,3
2026-01,Database,UNKNOWN,ap-southeast-1,30.98724,192820392.0,2
2026-01,Database,UNKNOWN,asia-south1,729.05,2985653.4,1
2026-01,Database,UNKNOWN,canadacentral,1155.6756,4165834.18,3
2026-01,Database,UNKNOWN,eastus,5885.3692,208103134.2,3
2026-01,Database,UNKNOWN,eu-west-1,18.48624,197881128.0,2
2026-01,Database,UNKNOWN,europe-west1,0.0,11846.99,1
2026-01,Database,UNKNOWN,southeastasia,50.79588,273468744.0,2
2026-01,Database,UNKNOWN,us-west-2,2313.96,1714474.2,1
2026-01,Database,UNKNOWN,us-west1,2405.5596,44565.39,1
2026-01,Storage,Blob-Cool,UNKNOWN,267.78444,6744.3964,5
2026-01,Storage,Blob-Cool,canadacentral,2330.29156,30805.645,29
2026-01,Storage,Blob-Cool,centralindia,8660.2546,497691.2274,41
2026-01,Storage,Blob-Cool,eastus,3581.72148,37837.039,28
2026-01,Storage,Blob-Cool,southeastasia,3072.9629800000002,27504.8689,26
2026-01,Storage,Blob-Cool,westeurope,6005.849,106201.7853,35
2026-01,Storage,Blob-Hot,UNKNOWN,22.8306,726.1354,4
2026-01,Storage,Blob-Hot,canadacentral,3418.59206,47682.2701,29
2026-01,Storage,Blob-Hot,centralindia,5678.8767800000005,150557.6723,41
2026-01,Storage,Blob-Hot,eastus,2410.5102,155702.9799,46
2026-01,Storage,Blob-Hot,southeastasia,2838.30972,157750.91210000002,26
2026-01,Storage,Blob-Hot,westeurope,4335.32694,67262.1028,37
2026-01,Storage,GCS-Nearline,UNKNOWN,70.93440000000001,3.2892,1
2026-01,Storage,GCS-Nearline,asia-south1,4233.47558,61758.0116,30
2026-01,Storage,GCS-Nearline,asia-southeast1,5445.2469,41511.122,37
2026-01,Storage,GCS-Nearline,europe-west1,2040.53436,90335.5462,29
2026-01,Storage,GCS-Nearline,us-central1,5494.47156,208230.8837,32
2026-01,Storage,GCS-Nearline,us-west1,1125.68084,203216.4728,24
2026-01,Storage,GCS-Standard,UNKNOWN,1.62,3385.1,1
2026-01,Storage,GCS-Standard,asia-south1,2067.8411,90289.6855,33
2026-01,Storage,GCS-Standard,asia-southeast1,2344.4889200000002,57849.5467,34
2026-01,Storage,GCS-Standard,europe-west1,6776.87276,32517.122,28
