Dept_Clean,Project_Clean,Total_Cost_USD,Record_Count
HR,DELTA,307080.26694,489
SECURITY,DELTA,304291.33874000004,469
MARKETING,OMEGA,303959.29778,504
PRODUCT,OMEGA,294926.87278000003,476
LEGAL,EPSILON,287992.57542,434
PRODUCT,EPSILON,285749.82622,453
LEGAL,NOVA,284787.70614,459
MARKETING,GAMMA,278482.30066,473
HR,GAMMA,272684.56124,483
SECURITY,BETA,266691.10344,482
FINANCE,DELTA,209198.19138,329
OPERATIONS,ALPHA,205356.21954,300
ENGINEERING,BETA,201751.57922,311
DATA_SCIENCE,PHOENIX,201585.59464,336
FINANCE,EPSILON,191652.13502000002,309
FINANCE,NOVA,177271.45464,292
OPERATIONS,GAMMA,175347.48094,303
DATA_SCIENCE,ALPHA,175010.92652,291
DEVOPS,ALPHA,173933.56416,250
ENGINEERING,PHOENIX,165012.87122,289
DATA_SCIENCE,NOVA,164046.00998,286
OPERATIONS,DELTA,156550.45888,301
DEVOPS,BETA,155078.74492,235
ENGINEERING,ALPHA,153274.44254000002,288
DEVOPS,PHOENIX,146091.8321,255
DEVOPS,GAMMA,114976.20004,207
SECURITY,UNKNOWN_PROJECT,27464.844360000003,43
PRODUCT,UNKNOWN_PROJECT,27153.179600000003,23
FINANCE,UNKNOWN_PROJECT,24047.423000000003,29
UNKNOWN_DEPT,EPSILON,22021.85314,47
UNKNOWN_DEPT,PHOENIX,21369.30098,26
LEGAL,GAMMA,19082.2761,17
DEVOPS,NOVA,18983.6074,24
UNKNOWN_DEPT,GAMMA,18814.2393,33
UNKNOWN_DEPT,DELTA,18630.23908,27
ENGINEERING,UNKNOWN_PROJECT,18439.91152,22
DATA_SCIENCE,OMEGA,17920.52926,18
HR,UNKNOWN_PROJECT,17144.55332,24
ENGINEERING,NOVA,16424.04668,23
OPERATIONS,NOVA,16133.08382,18
UNKNOWN_DEPT,ALPHA,16096.350199999999,30
MARKETING,DELTA,14840.01838,11
FINANCE,GAMMA,14432.625460000001,20
PRODUCT,BETA,13772.647840000001,14
ENGINEERING,OMEGA,13604.26758,8
OPERATIONS,BETA,13457.21586,22
UNKNOWN_DEPT,OMEGA,13304.366320000001,34
HR,ALPHA,13212.27332,15
SECURITY,ALPHA,13130.17302,13
ENGINEERING,EPSILON,12725.72636,18
UNKNOWN_DEPT,BETA,12579.760180000001,27
PRODUCT,ALPHA,12479.18888,12
DATA_SCIENCE,DELTA,12409.038460000002,20
DEVOPS,DELTA,12230.06196,18
FINANCE,PHOENIX,11863.95272,19
SECURITY,PHOENIX,11565.99762,13
DEVOPS,UNKNOWN_PROJECT,10906.5069,26
DATA_SCIENCE,UNKNOWN_PROJECT,10735.81764,23
PRODUCT,DELTA,10490.60982,13
HR,PHOENIX,10233.33272,9
SECURITY,EPSILON,10231.36286,10
OPERATIONS,UNKNOWN_PROJECT,10189.68788,26
DEVOPS,OMEGA,9626.817000000001,26
OPERATIONS,PHOENIX,9276.82168,13
PRODUCT,PHOENIX,9211.70068,12
DATA_SCIENCE,BETA,9057.42752,13
MARKETING,EPSILON,9012.73568,13
UNKNOWN_DEPT,NOVA,8653.27368,26
SECURITY,OMEGA,8511.009820000001,12
HR,NOVA,8212.12566,14
MARKETING,UNKNOWN_PROJECT,8193.49784,27
MARKETING,ALPHA,8079.844540000001,11
LEGAL,UNKNOWN_PROJECT,7881.101900000001,22
PRODUCT,GAMMA,7805.42356,15
DATA_SCIENCE,EPSILON,7259.746320000001,10
FINANCE,OMEGA,6802.3247,9
HR,OMEGA,6296.73388,10
LEGAL,ALPHA,6113.7346,12
MARKETING,PHOENIX,6010.8012,12
FINANCE,BETA,6004.99922,16
ENGINEERING,DELTA,5997.81984,13
LEGAL,DELTA,5982.5053,14
PRODUCT,NOVA,5862.59276,9
OPERATIONS,EPSILON,5782.37132,12
MARKETING,NOVA,5593.039940000001,7
LEGAL,BETA,5397.11476,5
DEVOPS,EPSILON,5333.68724,18
DATA_SCIENCE,GAMMA,5145.24848,15
SECURITY,NOVA,4951.9815,12
ENGINEERING,GAMMA,4665.00748,4
OPERATIONS,OMEGA,4017.64262,14
HR,BETA,3291.5865999999996,10
HR,EPSILON,3238.63712,9
LEGAL,OMEGA,3113.40052,16
LEGAL,PHOENIX,3107.99068,10
FINANCE,ALPHA,2960.3390799999997,12
SECURITY,GAMMA,1042.75306,13
MARKETING,BETA,59.79276000000001,5
