Resource_ID,Service_Clean,Avg_CPU,Avg_Mem,Total_Cost,Idle_Pings,Total_Pings,Idle_Ratio,Action_Recommended
az-vm-055,Compute,7.4,1.5,2266.4674,2,2,1.0,Terminate
az-vm-046,Database,1.2,3.5,1791.0504000000003,1,1,1.0,Terminate
gcp-inst-264,Compute,1.1,3.8,1310.64,1,1,1.0,Terminate
aws-ec2-158,Compute,0.5,7.5,1016.6472,1,1,1.0,Terminate
az-vm-106,Database,1.0,5.2,882.65,1,1,1.0,Terminate
gcp-inst-082,Compute,4.5,2.9,874.7125,1,1,1.0,Terminate
gcp-inst-201,Database,9.3,6.8,679.9326,2,2,1.0,Terminate
az-vm-023,Compute,5.5,0.9,35.98284,1,1,1.0,Terminate
az-vm-065,Compute,1.6,1.0,17.8476,1,1,1.0,Terminate
az-vm-183,Database,4.3,0.8,13.336800000000002,1,1,1.0,Terminate
aws-ec2-258,Database,1.4,3.1,8.696159999999999,1,1,1.0,Terminate
