Service_Clean,Region_Clean,Total_Events,SLA_Breaches,SLA_Attainment_Pct
Compute,centralindia,189,51,73.016
Compute,UNKNOWN,115,31,73.043
Storage,asia-south1,222,58,73.874
Database,europe-west1,217,56,74.194
Compute,southeastasia,205,52,74.634
Database,ap-south-1,264,66,75.0
Compute,asia-southeast1,209,52,75.12
Storage,asia-southeast1,215,49,77.209
Storage,ap-south-1,262,59,77.481
Database,eu-west-1,256,57,77.734
Storage,us-west-2,250,55,78.0
Compute,us-west-2,268,58,78.358
Database,westeurope,195,42,78.462
Storage,us-west1,186,40,78.495
Database,us-central1,225,48,78.667
Database,eastus,198,42,78.788
Storage,canadacentral,200,42,79.0
Compute,ap-south-1,259,54,79.151
Compute,us-central1,203,42,79.31
Compute,westeurope,213,44,79.343
Storage,us-east-1,267,55,79.401
Compute,eastus,213,43,79.812
Compute,us-west1,218,44,79.817
Database,centralindia,204,41,79.902
Compute,us-east-1,292,58,80.137
Storage,centralindia,218,43,80.275
Storage,ap-southeast-1,280,55,80.357
Database,us-west-2,260,51,80.385
Compute,ap-southeast-1,277,54,80.505
Database,us-east-1,269,52,80.669
Database,us-west1,208,40,80.769
Database,asia-south1,219,42,80.822
Database,canadacentral,202,38,81.188
Storage,eu-west-1,259,48,81.467
Compute,eu-west-1,249,46,81.526
Storage,southeastasia,180,33,81.667
Database,asia-southeast1,213,38,82.16
Storage,westeurope,204,35,82.843
Database,UNKNOWN,123,21,82.927
Compute,europe-west1,223,36,83.857
Storage,us-central1,199,32,83.92
Compute,canadacentral,202,32,84.158
Database,ap-southeast-1,274,43,84.307
Storage,europe-west1,207,32,84.541
Compute,asia-south1,203,30,85.222
Database,southeastasia,192,28,85.417
Storage,eastus,208,30,85.577
Storage,UNKNOWN,136,13,90.441
