Date,SKU_Clean,Anomaly_Count,Max_Z_Score,Avg_Z_Score,Total_Cost_Impact
2026-03-22,RDS-db.m5.large,2,113.38,113.38,7289.74
2026-02-19,EC2-t3.medium,2,30.14,30.14,6487.38
2026-01-19,SQLDb-S2,2,70.8,63.34,6353.86
2026-01-09,SQLDb-S2,3,31.55,25.19,5727.51
2026-03-07,CloudSQL-db.standard-2,2,88.92,48.9,5719.94
2026-03-11,VM-Standard_D4s,2,31.93,27.26,5378.54
2026-01-01,VM-Standard_D2s,2,71.12,54.49,5025.3
2026-02-17,GCE-n1-standard-2,1,105.64,105.64,4485.43
2026-01-28,CloudSQL-db.standard-2,1,71.49,71.49,4353.45
2026-01-18,CloudSQL-db.standard-2,3,43.49,32.3,4311.91
2026-03-31,SQLDb-S2,2,71.12,57.3,4257.03
2026-01-31,VM-Standard_D4s,2,15.66,15.66,3900.12
2026-01-21,GCE-n1-standard-2,2,52.31,39.86,3820.43
2026-02-28,GCE-n1-standard-4,1,69.8,69.8,3689.63
2026-03-30,VM-Standard_D4s,1,75.39,75.39,3634.03
2026-01-25,GCE-n1-standard-4,1,29.14,29.14,3607.71
2026-02-01,RDS-db.m5.large,3,87.64,43.28,3563.62
2026-01-30,EC2-t3.xlarge,1,51.08,51.08,3545.22
2026-01-17,GCE-n1-standard-2,1,33.34,33.34,3519.7
2026-02-07,EC2-t3.large,1,20.11,20.11,3501.2
2026-03-17,RDS-db.m5.large,3,31.96,29.51,3486.36
2026-02-10,EC2-t3.medium,2,57.68,48.09,3418.12
2026-03-29,EC2-t3.large,1,117.43,117.43,3328.16
2026-02-06,CloudSQL-db.standard-2,1,111.62,111.62,3304.91
2026-01-14,GCS-Nearline,1,31.94,31.94,3200.18
2026-03-30,GCE-n1-standard-2,2,53.49,28.9,3198.51
2026-01-16,VM-Standard_D8s,2,46.12,36.47,3174.78
2026-03-27,EC2-t3.xlarge,1,54.88,54.88,3109.26
2026-03-07,SQLDb-S2,1,68.13,68.13,3056.82
2026-02-21,EC2-t3.large,1,16.46,16.46,2975.86
2026-01-19,EC2-t3.xlarge,1,17.15,17.15,2912.74
2026-02-25,RDS-db.m5.large,2,77.76,58.9,2900.3
2026-02-04,EC2-t3.medium,2,73.18,73.18,2862.05
2026-03-28,SQLDb-S2,1,42.57,42.57,2857.6
2026-03-12,CloudSQL-db.standard-2,1,95.94,95.94,2742.76
2026-03-31,CloudSQL-db.standard-2,1,50.6,50.6,2617.0
2026-02-24,RDS-db.m5.large,1,53.55,53.55,2599.08
2026-03-15,EC2-t3.medium,2,66.43,40.38,2595.25
2026-03-04,SQLDb-S2,2,47.34,30.34,2452.35
2026-02-10,CloudSQL-db.standard-2,2,58.49,52.99,2439.62
2026-01-02,GCE-n1-standard-2,2,31.01,21.91,2421.47
2026-02-15,CloudSQL-db.standard-2,1,23.99,23.99,2409.13
2026-01-09,VM-Standard_D4s,1,47.32,47.32,2399.97
2026-02-05,CloudSQL-db.standard-2,3,74.54,64.2,2368.93
2026-03-10,GCE-n1-standard-2,1,66.31,66.31,2365.91
2026-03-12,SQLDb-S2,2,47.96,32.95,2355.34
2026-02-01,GCE-n1-standard-4,1,101.23,101.23,2334.58
2026-02-16,EC2-t3.xlarge,2,25.34,25.34,2300.68
2026-01-27,VM-Standard_D2s,1,67.43,67.43,2267.78
2026-01-14,CloudSQL-db.standard-2,2,38.84,32.51,2267.58
2026-01-03,VM-Standard_D4s,3,38.93,16.01,2182.4
2026-02-18,RDS-db.m5.large,1,46.52,46.52,2125.58
2026-03-19,GCE-n1-standard-4,1,21.88,21.88,2063.45
2026-01-28,RDS-db.m5.large,1,82.48,82.48,2044.61
2026-03-05,SQLDb-S2,1,37.94,37.94,2031.26
2026-02-09,SQLDb-S2,1,11.76,11.76,1983.23
2026-02-06,SQLDb-S2,2,79.69,44.05,1951.76
2026-01-18,VM-Standard_D4s,1,57.64,57.64,1915.74
2026-01-11,GCE-n1-standard-4,1,21.13,21.13,1819.54
2026-02-07,EC2-t3.medium,1,108.7,108.7,1740.78
2026-01-31,RDS-db.m5.large,1,28.64,28.64,1739.63
2026-01-05,VM-Standard_D8s,1,38.0,38.0,1729.6
2026-03-05,VM-Standard_D2s,1,34.41,34.41,1695.45
2026-01-04,SQLDb-S2,2,39.33,31.56,1671.53
2026-01-15,VM-Standard_D2s,1,31.42,31.42,1663.94
2026-03-17,GCE-n1-standard-2,1,47.94,47.94,1641.81
2026-03-04,RDS-db.m5.large,1,24.74,24.74,1625.17
2026-03-30,SQLDb-S2,1,31.46,31.46,1623.7
2026-01-22,SQLDb-S2,3,32.76,21.01,1595.9
2026-03-23,VM-Standard_D8s,1,51.99,51.99,1499.39
2026-01-09,GCE-n1-standard-4,1,53.92,53.92,1469.25
2026-02-22,SQLDb-S2,1,27.81,27.81,1399.68
2026-02-22,VM-Standard_D8s,2,32.25,21.18,1383.87
2026-01-14,SQLDb-S2,1,45.87,45.87,1329.03
2026-02-17,EC2-t3.medium,1,38.65,38.65,1323.25
2026-01-25,VM-Standard_D4s,1,22.47,22.47,1286.26
2026-03-26,CloudSQL-db.standard-2,4,59.3,22.37,1282.41
2026-03-25,GCE-n1-standard-2,1,40.67,40.67,1237.24
2026-02-11,SQLDb-S2,1,66.58,66.58,1217.64
2026-02-04,VM-Standard_D4s,1,36.54,36.54,1212.21
2026-01-03,VM-Standard_D8s,1,74.69,74.69,1192.19
2026-01-12,RDS-db.m5.large,1,7.22,7.22,1121.38
2026-02-12,SQLDb-S2,1,19.05,19.05,1067.37
2026-01-02,EC2-t3.medium,1,60.62,60.62,1060.84
2026-02-07,VM-Standard_D8s,1,31.46,31.46,1036.31
2026-01-08,SQLDb-S2,1,15.65,15.65,1028.53
2026-03-21,VM-Standard_D4s,1,33.8,33.8,1015.74
2026-02-02,CloudSQL-db.standard-2,1,7.73,7.73,944.24
2026-03-03,EC2-t3.medium,1,54.83,54.83,941.35
2026-02-04,SQLDb-S2,1,21.37,21.37,937.69
2026-03-05,EC2-t3.large,1,40.05,40.05,886.53
2026-03-16,VM-Standard_D8s,1,22.51,22.51,873.23
2026-02-18,CloudSQL-db.standard-2,1,73.3,73.3,837.46
2026-03-11,CloudSQL-db.standard-2,2,37.91,20.6,794.36
2026-03-04,CloudSQL-db.standard-2,1,3.25,3.25,793.6
2026-03-17,VM-Standard_D4s,2,35.96,35.83,780.96
2026-02-10,SQLDb-S2,1,10.78,10.78,765.37
2026-02-27,GCE-n1-standard-4,1,28.61,28.61,741.8
2026-02-16,VM-Standard_D4s,1,45.3,45.3,740.25
2026-01-16,EC2-t3.xlarge,1,35.36,35.36,721.35
2026-03-01,VM-Standard_D8s,1,17.2,17.2,697.65
2026-01-17,EC2-t3.large,1,19.92,19.92,676.46
2026-01-14,RDS-db.m5.large,1,48.66,48.66,658.54
2026-03-07,VM-Standard_D8s,1,94.16,94.16,657.68
2026-01-25,CloudSQL-db.standard-2,1,110.0,110.0,646.21
2026-01-02,SQLDb-S2,1,13.48,13.48,616.26
2026-03-27,VM-Standard_D2s,1,10.24,10.24,609.55
2026-01-01,EC2-t3.large,1,7.88,7.88,588.17
2026-01-26,CloudSQL-db.standard-2,1,31.13,31.13,534.21
2026-02-11,S3-IA,3,42.57,20.78,532.56
2026-03-19,SQLDb-S2,2,7.12,5.85,528.22
2026-02-26,SQLDb-S2,1,11.97,11.97,521.69
2026-02-01,Blob-Cool,1,50.25,50.25,520.8
2026-02-02,VM-Standard_D2s,1,19.93,19.93,491.66
2026-03-30,RDS-db.m5.large,2,45.63,32.55,480.65
2026-01-24,VM-Standard_D8s,1,108.06,108.06,452.16
2026-03-03,Blob-Hot,1,93.48,93.48,441.83
2026-02-23,S3-IA,1,75.59,75.59,441.83
