SKU_Clean,Unit_Canonical,Avg_Effective_Rate,Min_Rate,Max_Rate,Total_Spend
RDS-db.m5.large,seconds,0.01212,-0.09791,0.12691,618674.14056
SQLDb-S2,seconds,0.01429,0.0,0.12591,576239.99448
CloudSQL-db.standard-2,seconds,0.00843,-0.09506,0.11422,383819.23846
VM-Standard_D8s,seconds,0.01568,-0.00141,0.12324,216393.47654
EC2-t3.xlarge,seconds,0.01223,-0.02313,0.12033,209844.6427
EC2-t3.medium,seconds,0.01084,-0.00529,0.10792,207548.335
VM-Standard_D2s,seconds,0.01309,-0.03936,0.10188,197573.73464
VM-Standard_D4s,seconds,0.00942,-0.02189,0.1261,189807.04252
EC2-t3.large,seconds,0.01121,-3e-05,0.11558,177470.44772
GCE-n1-standard-4,seconds,0.00753,-0.00024,0.09956,134729.31206
GCE-n1-standard-8,seconds,0.00898,-0.07517,0.10843,124179.44434
GCE-n1-standard-2,seconds,0.0098,-0.00018,0.10761,116668.53782
S3-IA,GB,14.12261,-96.13334,128.61163,28938.60974
Blob-Hot,GB,17.45454,-0.01603,126.95922,27891.59528
Blob-Cool,GB,18.70462,-0.06314,122.97493,27020.88646
S3-Standard,GB,11.15166,-32.80182,121.64874,26898.87414
GCS-Standard,GB,13.18114,-0.00616,129.35036,20885.27742
GCS-Nearline,GB,13.26651,-79.38505,116.41667,19530.92672
