Region_Clean,Total_Emissions_kg,Record_Count
asia-south1,1075195.4486871283,644
ap-south-1,977298.545285686,785
us-east-1,567873.092941099,828
us-central1,525092.1625463846,627
centralindia,434583.6192283682,611
asia-southeast1,405459.05492556456,637
ap-southeast-1,391352.6505797251,831
southeastasia,383960.89155442186,577
eastus,300617.6487818708,619
eu-west-1,265563.375186204,764
westeurope,230697.6975000477,612
europe-west1,157613.41422023598,647
us-west-2,94960.51053031723,778
us-west1,36767.130718095,612
canadacentral,35567.00988133598,604
