Date,Service_Clean,Daily_Cost,Rolling_7D_Avg,Forecast_Next_Month_Daily_Avg
2026-01-01,Compute,29279.755800000003,29279.755800000003,30743.743590000005
2026-01-02,Compute,31986.20252,30632.979160000003,32164.628118000004
2026-01-03,Compute,22935.66816,28067.20882666667,29470.569268000003
2026-01-04,Compute,27486.48874,27922.028805,29318.130245250002
2026-01-05,Compute,20386.82516,26414.988076,27735.737479800002
2026-01-06,Compute,30047.44824,27020.398103333337,28371.418008500004
2026-01-07,Compute,39330.27528,28778.951985714288,30217.899585000003
2026-01-08,Compute,39964.81726,30305.389337142853,31820.658804
2026-01-09,Compute,45069.76852,32174.470194285714,33783.193704
2026-01-10,Compute,28139.25548,32917.839811428574,34563.731802
2026-01-11,Compute,34980.92792,33988.47398,35687.897679
2026-01-12,Compute,45106.076100000006,37519.795542857144,39395.78532
2026-01-13,Compute,54977.5763,41081.24240857143,43135.304529
2026-01-14,Compute,37825.67382,40866.29934285714,42909.614310000004
2026-01-15,Compute,41327.11046,41060.91265714286,43113.95829
2026-01-16,Compute,50798.605260000004,41879.317905714284,43973.283801
2026-01-17,Compute,26827.7834,41691.964751428575,43776.562989000005
2026-01-18,Compute,34099.21056,41566.00512857143,43644.305385
2026-01-19,Compute,32876.16528,39818.87501142857,41809.818762
2026-01-20,Compute,18366.45576,34588.714934285716,36318.15068100001
2026-01-21,Compute,22588.36786,32411.956940000004,34032.55478700001
2026-01-22,Compute,30998.1173,30936.386488571432,32483.205813000004
2026-01-23,Compute,32354.62628,28301.532348571433,29716.608966000007
2026-01-24,Compute,45524.39482,30972.476837142858,32521.100679000003
2026-01-25,Compute,34990.47412,31099.800202857143,32654.790213
2026-01-26,Compute,32367.28466,31027.102971428572,32578.458120000003
2026-01-27,Compute,24212.488540000002,31862.25051142857,33455.363037
2026-01-28,Compute,34483.4257,33561.544488571424,35239.621713
2026-01-29,Compute,29844.554340000002,33396.749780000006,35066.58726900001
2026-01-30,Compute,30167.931099999998,33084.364754285714,34738.582992
2026-01-31,Compute,48542.36932,33515.50396857143,35191.279167
2026-02-01,Compute,35901.35686,33645.63007428571,35327.911578
2026-02-02,Compute,24585.36408,32533.927134285714,34160.623491
2026-02-03,Compute,31534.42128,33579.917525714285,35258.913402
2026-02-04,Compute,59077.36572,37093.33752857143,38948.004405
2026-02-05,Compute,20749.92044,35794.104114285714,37583.80932
2026-02-06,Compute,52497.6816,38984.068471428574,40933.271895000005
2026-02-07,Compute,33691.128880000004,36862.462694285714,38705.585829
2026-02-08,Compute,34851.15556,36712.43393714286,38548.055634000004
2026-02-09,Compute,36380.13244,38397.400845714285,40317.270888
2026-02-10,Compute,41585.786400000005,39833.31014857143,41824.975656
2026-02-11,Compute,40250.62846,37143.776254285716,39000.965067000005
2026-02-12,Compute,24629.67284,37698.02659714286,39582.927927000004
2026-02-13,Compute,18605.57432,32856.29698571428,34499.111834999996
2026-02-14,Compute,33706.72654,32858.52522285714,34501.451484
2026-02-15,Compute,42748.791919999996,33986.758988571426,35686.096938
2026-02-16,Compute,33101.12234,33518.32897428571,35194.24542299999
2026-02-17,Compute,34790.55808,32547.582071428573,34174.961175000004
2026-02-18,Compute,27062.54804,30663.570582857144,32196.749112
2026-02-19,Compute,43730.26146,33392.2261,35061.837405
2026-02-20,Compute,25554.4242,34384.91894,36104.164887000006
2026-02-21,Compute,36297.5524,34755.03692,36492.788766
2026-02-22,Compute,28512.23384,32721.242908571432,34357.305054000004
2026-02-23,Compute,27198.5606,31878.019802857143,33471.920793000005
2026-02-24,Compute,22933.0617,30184.09174857143,31693.296336000003
2026-02-25,Compute,27905.460600000002,30304.50782857143,31819.733220000002
2026-02-26,Compute,16204.9152,26372.315505714283,27690.931280999997
2026-02-27,Compute,21227.07838,25754.123245714287,27041.829408
2026-02-28,Compute,37306.82734,25898.30538,27193.220649000003
2026-03-01,Compute,18314.43706,24441.47726857143,25663.551132000004
2026-03-02,Compute,23135.99892,23861.111314285718,25054.166880000004
2026-03-03,Compute,50345.898160000004,27777.23080857143,29166.092349000002
2026-03-04,Compute,51175.449,31101.51486571429,32656.590609000006
2026-03-05,Compute,36621.03852,34018.103911428574,35719.009107000005
2026-03-06,Compute,46479.2301,37625.55415714286,39506.83186500001
2026-03-07,Compute,31594.10938,36809.45159142857,38649.924171000006
2026-03-08,Compute,27465.99172,38116.816542857145,40022.65737
2026-03-09,Compute,27594.95282,38753.80995714286,40691.50045500001
2026-03-10,Compute,36521.84378,36778.94504571429,38617.892298000006
2026-03-11,Compute,26077.70856,33193.55355428572,34853.231232000006
2026-03-12,Compute,33936.64942,32810.069397142855,34450.572867
2026-03-13,Compute,31245.468960000002,30633.81780571429,32165.508696000008
2026-03-14,Compute,38545.12294,31626.819742857148,33208.16073
2026-03-15,Compute,28336.59096,31751.191062857146,33338.750616000005
2026-03-16,Compute,30226.9224,32127.186717142857,33733.546053
2026-03-17,Compute,19805.04606,29739.072757142858,31226.026395
2026-03-18,Compute,43722.21742,32259.716879999996,33872.702723999995
2026-03-19,Compute,37051.78878,32704.73678857143,34339.973628
2026-03-20,Compute,21170.15342,31265.405997142858,32828.676297000005
2026-03-21,Compute,17574.1967,28269.55939142857,29683.037361000002
2026-03-22,Compute,32916.1284,28923.779025714288,30369.967977000004
2026-03-23,Compute,26245.13214,28354.95184571429,29772.699438000007
2026-03-24,Compute,40141.46256,31260.154202857146,32823.161913
2026-03-25,Compute,18412.236640000003,27644.44266285715,29026.66479600001
2026-03-26,Compute,19241.49964,25100.11564285715,26355.12142500001
2026-03-27,Compute,34705.77538,27033.77592285714,28385.464719
2026-03-28,Compute,36535.66828,29742.55757714286,31229.685456000003
2026-03-29,Compute,27533.81712,28973.655965714286,30422.338764
2026-03-30,Compute,23480.424460000002,28578.697725714283,30007.632611999998
2026-03-31,Compute,35743.265400000004,27950.38384571429,29347.903038000004
2026-04-01,Compute,9.50388,25321.422022857143,26587.493124
2025-12-31,Database,36.01416,36.01416,37.814868
2026-01-01,Database,32385.80474,16210.90945,17021.4549225
2026-01-02,Database,23380.06852,18600.62914,19530.660597000002
