Account_ID,Total_Resources,Valid_Owner_Tags,Valid_Env_Tags,Owner_Compliance_Pct,Env_Compliance_Pct,Overall_Compliance_Pct
  AWS-ACCT-001 ,6,6,6,100.0,100.0,100.0
  AWS-ACCT-002 ,8,8,8,100.0,100.0,100.0
  AWS-ACCT-003 ,12,12,12,100.0,100.0,100.0
  AWS-ACCT-004 ,5,5,5,100.0,100.0,100.0
  AWS-ACCT-005 ,6,6,6,100.0,100.0,100.0
  AWS-ACCT-006 ,5,5,5,100.0,100.0,100.0
  AWS-ACCT-007 ,4,4,4,100.0,100.0,100.0
  AWS-ACCT-008 ,5,5,5,100.0,100.0,100.0
  AWS-ACCT-009 ,8,8,8,100.0,100.0,100.0
  AWS-ACCT-010 ,11,11,11,100.0,100.0,100.0
  AWS-ACCT-011 ,13,13,13,100.0,100.0,100.0
  AWS-ACCT-012 ,5,5,5,100.0,100.0,100.0
  AWS-ACCT-013 ,7,7,7,100.0,100.0,100.0
  AWS-ACCT-014 ,5,5,5,100.0,100.0,100.0
  AWS-ACCT-015 ,9,9,9,100.0,100.0,100.0
  AWS-ACCT-016 ,8,8,8,100.0,100.0,100.0
  AWS-ACCT-017 ,10,10,10,100.0,100.0,100.0
  AWS-ACCT-018 ,6,6,6,100.0,100.0,100.0
  AWS-ACCT-019 ,7,7,7,100.0,100.0,100.0
  AWS-ACCT-020 ,7,7,7,100.0,100.0,100.0
  AZ-ACCT-021 ,5,5,5,100.0,100.0,100.0
  AZ-ACCT-022 ,8,8,8,100.0,100.0,100.0
  AZ-ACCT-023 ,11,11,11,100.0,100.0,100.0
  AZ-ACCT-024 ,4,4,4,100.0,100.0,100.0
  AZ-ACCT-025 ,9,9,9,100.0,100.0,100.0
  AZ-ACCT-026 ,7,7,7,100.0,100.0,100.0
  AZ-ACCT-027 ,4,4,4,100.0,100.0,100.0
  AZ-ACCT-028 ,5,5,5,100.0,100.0,100.0
  AZ-ACCT-029 ,3,3,3,100.0,100.0,100.0
  AZ-ACCT-030 ,7,7,7,100.0,100.0,100.0
  AZ-ACCT-031 ,4,4,4,100.0,100.0,100.0
  AZ-ACCT-032 ,2,2,2,100.0,100.0,100.0
  AZ-ACCT-033 ,5,5,5,100.0,100.0,100.0
  AZ-ACCT-034 ,4,4,4,100.0,100.0,100.0
  AZ-ACCT-035 ,6,6,6,100.0,100.0,100.0
  GCP-ACCT-036 ,7,7,7,100.0,100.0,100.0
  GCP-ACCT-037 ,5,5,5,100.0,100.0,100.0
  GCP-ACCT-038 ,8,8,8,100.0,100.0,100.0
  GCP-ACCT-039 ,9,9,9,100.0,100.0,100.0
  GCP-ACCT-040 ,3,3,3,100.0,100.0,100.0
  GCP-ACCT-041 ,3,3,3,100.0,100.0,100.0
  GCP-ACCT-042 ,6,6,6,100.0,100.0,100.0
  GCP-ACCT-043 ,6,6,6,100.0,100.0,100.0
  GCP-ACCT-044 ,5,5,5,100.0,100.0,100.0
  GCP-ACCT-045 ,3,3,3,100.0,100.0,100.0
  GCP-ACCT-046 ,10,10,10,100.0,100.0,100.0
  GCP-ACCT-047 ,9,9,9,100.0,100.0,100.0
  GCP-ACCT-048 ,11,11,11,100.0,100.0,100.0
  GCP-ACCT-049 ,6,6,6,100.0,100.0,100.0
  GCP-ACCT-050 ,6,6,6,100.0,100.0,100.0
ACCT-001,2,2,2,100.0,100.0,100.0
ACCT-002,5,5,5,100.0,100.0,100.0
ACCT-003,5,5,5,100.0,100.0,100.0
ACCT-004,6,6,6,100.0,100.0,100.0
ACCT-005,4,4,4,100.0,100.0,100.0
ACCT-006,7,7,7,100.0,100.0,100.0
ACCT-007,6,6,6,100.0,100.0,100.0
ACCT-008,2,2,2,100.0,100.0,100.0
ACCT-009,7,7,7,100.0,100.0,100.0
ACCT-010,2,2,2,100.0,100.0,100.0
ACCT-011,4,4,4,100.0,100.0,100.0
ACCT-012,6,6,6,100.0,100.0,100.0
ACCT-013,3,3,3,100.0,100.0,100.0
ACCT-014,3,3,3,100.0,100.0,100.0
ACCT-015,4,4,4,100.0,100.0,100.0
ACCT-016,4,4,4,100.0,100.0,100.0
ACCT-017,5,5,5,100.0,100.0,100.0
ACCT-018,4,4,4,100.0,100.0,100.0
ACCT-019,3,3,3,100.0,100.0,100.0
ACCT-020,7,7,7,100.0,100.0,100.0
ACCT-036,6,6,6,100.0,100.0,100.0
ACCT-037,3,3,3,100.0,100.0,100.0
ACCT-038,3,3,3,100.0,100.0,100.0
ACCT-039,5,5,5,100.0,100.0,100.0
ACCT-040,2,2,2,100.0,100.0,100.0
ACCT-041,2,2,2,100.0,100.0,100.0
ACCT-042,2,2,2,100.0,100.0,100.0
ACCT-043,2,2,2,100.0,100.0,100.0
ACCT-044,7,7,7,100.0,100.0,100.0
ACCT-045,5,5,5,100.0,100.0,100.0
ACCT-046,8,8,8,100.0,100.0,100.0
ACCT-047,3,3,3,100.0,100.0,100.0
ACCT-048,5,5,5,100.0,100.0,100.0
ACCT-049,7,7,7,100.0,100.0,100.0
ACCT-050,9,9,9,100.0,100.0,100.0
AWS--ACCT-001,4,4,4,100.0,100.0,100.0
AWS--ACCT-002,5,5,5,100.0,100.0,100.0
AWS--ACCT-003,4,4,4,100.0,100.0,100.0
AWS--ACCT-004,4,4,4,100.0,100.0,100.0
AWS--ACCT-005,4,4,4,100.0,100.0,100.0
AWS--ACCT-006,6,6,6,100.0,100.0,100.0
AWS--ACCT-007,5,5,5,100.0,100.0,100.0
AWS--ACCT-008,5,5,5,100.0,100.0,100.0
AWS--ACCT-009,6,6,6,100.0,100.0,100.0
AWS--ACCT-010,3,3,3,100.0,100.0,100.0
AWS--ACCT-011,10,10,10,100.0,100.0,100.0
AWS--ACCT-012,3,3,3,100.0,100.0,100.0
AWS--ACCT-013,4,4,4,100.0,100.0,100.0
AWS--ACCT-014,6,6,6,100.0,100.0,100.0
AWS--ACCT-015,5,5,5,100.0,100.0,100.0
AWS--ACCT-016,2,2,2,100.0,100.0,100.0
AWS--ACCT-017,4,4,4,100.0,100.0,100.0
AWS--ACCT-018,3,3,3,100.0,100.0,100.0
AWS--ACCT-019,2,2,2,100.0,100.0,100.0
AWS--ACCT-020,9,9,9,100.0,100.0,100.0
AWS-ACCT-001,169,169,169,100.0,100.0,100.0
AWS-ACCT-002,195,195,195,100.0,100.0,100.0
AWS-ACCT-003,218,218,218,100.0,100.0,100.0
AWS-ACCT-004,179,179,179,100.0,100.0,100.0
AWS-ACCT-005,214,214,214,100.0,100.0,100.0
AWS-ACCT-006,156,156,156,100.0,100.0,100.0
AWS-ACCT-007,157,157,157,100.0,100.0,100.0
AWS-ACCT-008,177,177,177,100.0,100.0,100.0
AWS-ACCT-009,173,173,173,100.0,100.0,100.0
AWS-ACCT-010,192,192,192,100.0,100.0,100.0
AWS-ACCT-011,183,183,183,100.0,100.0,100.0
AWS-ACCT-012,174,174,174,100.0,100.0,100.0
AWS-ACCT-013,181,181,181,100.0,100.0,100.0
AWS-ACCT-014,156,156,156,100.0,100.0,100.0
AWS-ACCT-015,178,178,178,100.0,100.0,100.0
AWS-ACCT-016,158,158,158,100.0,100.0,100.0
AWS-ACCT-017,191,191,191,100.0,100.0,100.0
AWS-ACCT-018,187,187,187,100.0,100.0,100.0
AWS-ACCT-019,187,187,187,100.0,100.0,100.0
AWS-ACCT-020,180,180,180,100.0,100.0,100.0
AWS_ACCT_001,9,9,9,100.0,100.0,100.0
AWS_ACCT_002,9,9,9,100.0,100.0,100.0
AWS_ACCT_003,6,6,6,100.0,100.0,100.0
AWS_ACCT_004,11,11,11,100.0,100.0,100.0
AWS_ACCT_005,2,2,2,100.0,100.0,100.0
AWS_ACCT_006,9,9,9,100.0,100.0,100.0
AWS_ACCT_007,3,3,3,100.0,100.0,100.0
AWS_ACCT_008,7,7,7,100.0,100.0,100.0
AWS_ACCT_009,7,7,7,100.0,100.0,100.0
AWS_ACCT_010,11,11,11,100.0,100.0,100.0
AWS_ACCT_011,4,4,4,100.0,100.0,100.0
AWS_ACCT_012,5,5,5,100.0,100.0,100.0
AWS_ACCT_013,3,3,3,100.0,100.0,100.0
AWS_ACCT_014,6,6,6,100.0,100.0,100.0
AWS_ACCT_015,3,3,3,100.0,100.0,100.0
AWS_ACCT_016,2,2,2,100.0,100.0,100.0
AWS_ACCT_017,12,12,12,100.0,100.0,100.0
AWS_ACCT_018,7,7,7,100.0,100.0,100.0
AWS_ACCT_019,9,9,9,100.0,100.0,100.0
AWS_ACCT_020,5,5,5,100.0,100.0,100.0
AZ--ACCT-021,6,6,6,100.0,100.0,100.0
AZ--ACCT-022,4,4,4,100.0,100.0,100.0
AZ--ACCT-023,4,4,4,100.0,100.0,100.0
AZ--ACCT-024,11,11,11,100.0,100.0,100.0
AZ--ACCT-025,2,2,2,100.0,100.0,100.0
AZ--ACCT-026,2,2,2,100.0,100.0,100.0
AZ--ACCT-027,5,5,5,100.0,100.0,100.0
AZ--ACCT-028,5,5,5,100.0,100.0,100.0
AZ--ACCT-029,2,2,2,100.0,100.0,100.0
AZ--ACCT-030,3,3,3,100.0,100.0,100.0
AZ--ACCT-031,3,3,3,100.0,100.0,100.0
AZ--ACCT-032,4,4,4,100.0,100.0,100.0
AZ--ACCT-033,3,3,3,100.0,100.0,100.0
AZ--ACCT-034,3,3,3,100.0,100.0,100.0
AZ-ACCT-021,175,175,175,100.0,100.0,100.0
AZ-ACCT-022,183,183,183,100.0,100.0,100.0
AZ-ACCT-023,186,186,186,100.0,100.0,100.0
AZ-ACCT-024,186,186,186,100.0,100.0,100.0
AZ-ACCT-025,173,173,173,100.0,100.0,100.0
AZ-ACCT-026,194,194,194,100.0,100.0,100.0
AZ-ACCT-027,171,171,171,100.0,100.0,100.0
AZ-ACCT-028,186,186,186,100.0,100.0,100.0
AZ-ACCT-029,178,178,178,100.0,100.0,100.0
AZ-ACCT-030,177,177,177,100.0,100.0,100.0
AZ-ACCT-031,186,186,186,100.0,100.0,100.0
AZ-ACCT-032,181,181,181,100.0,100.0,100.0
AZ-ACCT-033,199,199,199,100.0,100.0,100.0
AZ-ACCT-034,207,207,207,100.0,100.0,100.0
AZ-ACCT-035,175,175,175,100.0,100.0,100.0
AZ_ACCT_021,3,3,3,100.0,100.0,100.0
AZ_ACCT_022,6,6,6,100.0,100.0,100.0
AZ_ACCT_023,4,4,4,100.0,100.0,100.0
AZ_ACCT_024,11,11,11,100.0,100.0,100.0
AZ_ACCT_025,6,6,6,100.0,100.0,100.0
AZ_ACCT_026,4,4,4,100.0,100.0,100.0
AZ_ACCT_027,2,2,2,100.0,100.0,100.0
AZ_ACCT_028,3,3,3,100.0,100.0,100.0
AZ_ACCT_029,15,15,15,100.0,100.0,100.0
AZ_ACCT_030,6,6,6,100.0,100.0,100.0
AZ_ACCT_031,4,4,4,100.0,100.0,100.0
AZ_ACCT_032,4,4,4,100.0,100.0,100.0
AZ_ACCT_033,6,6,6,100.0,100.0,100.0
AZ_ACCT_034,8,8,8,100.0,100.0,100.0
AZ_ACCT_035,6,6,6,100.0,100.0,100.0
CCT-021,7,7,7,100.0,100.0,100.0
CCT-022,4,4,4,100.0,100.0,100.0
CCT-023,3,3,3,100.0,100.0,100.0
CCT-024,1,1,1,100.0,100.0,100.0
CCT-025,8,8,8,100.0,100.0,100.0
CCT-026,5,5,5,100.0,100.0,100.0
CCT-027,3,3,3,100.0,100.0,100.0
CCT-028,4,4,4,100.0,100.0,100.0
CCT-029,4,4,4,100.0,100.0,100.0
CCT-030,3,3,3,100.0,100.0,100.0
CCT-031,2,2,2,100.0,100.0,100.0
CCT-032,5,5,5,100.0,100.0,100.0
CCT-033,4,4,4,100.0,100.0,100.0
CCT-034,5,5,5,100.0,100.0,100.0
CCT-035,3,3,3,100.0,100.0,100.0
GCP--ACCT-036,4,4,4,100.0,100.0,100.0
GCP--ACCT-037,6,6,6,100.0,100.0,100.0
GCP--ACCT-038,5,5,5,100.0,100.0,100.0
GCP--ACCT-039,3,3,3,100.0,100.0,100.0
GCP--ACCT-040,2,2,2,100.0,100.0,100.0
GCP--ACCT-041,6,6,6,100.0,100.0,100.0
GCP--ACCT-042,1,1,1,100.0,100.0,100.0
GCP--ACCT-043,5,5,5,100.0,100.0,100.0
GCP--ACCT-044,2,2,2,100.0,100.0,100.0
GCP--ACCT-045,3,3,3,100.0,100.0,100.0
GCP--ACCT-046,3,3,3,100.0,100.0,100.0
GCP--ACCT-047,4,4,4,100.0,100.0,100.0
GCP--ACCT-048,2,2,2,100.0,100.0,100.0
GCP--ACCT-049,3,3,3,100.0,100.0,100.0
GCP--ACCT-050,2,2,2,100.0,100.0,100.0
GCP-ACCT-036,203,203,203,100.0,100.0,100.0
GCP-ACCT-037,180,180,180,100.0,100.0,100.0
GCP-ACCT-038,181,181,181,100.0,100.0,100.0
GCP-ACCT-039,172,172,172,100.0,100.0,100.0
GCP-ACCT-040,192,192,192,100.0,100.0,100.0
GCP-ACCT-041,198,198,198,100.0,100.0,100.0
