SKU_Clean,Total_Cost_USD,Total_Usage,Blended_Rate,Effective_Discount_Pct
Blob-Cool,70344.35478000001,1969791.9072,0.0357,-25.63
Blob-Hot,79727.8451,1885293.6189000001,0.0423,-25.2
CloudSQL-db.standard-2,717684.29448,114674273849.0,0.0,99.96
EC2-t3.large,393806.57292,7169058.300208333,0.0549,-125.43
EC2-t3.medium,386174.40318,10057628.670825,0.0384,-84.28
EC2-t3.xlarge,421207.2352,10107288.059244445,0.0417,4.07
GCE-n1-standard-2,253579.37672,8041833.419166667,0.0315,-25.67
GCE-n1-standard-4,273361.23202,9732164.254575,0.0281,-87.3
GCE-n1-standard-8,205749.2125,5440366.72385,0.0378,23.16
GCS-Nearline,52293.13874,1369180.2319,0.0382,-211.07
GCS-Standard,44293.6657,2069302.6125,0.0214,41.85
RDS-db.m5.large,1126505.30986,106495931390.29,0.0,99.97
S3-IA,80949.43336,2307010.4455,0.0351,-81.48
S3-Standard,78225.40658,2029572.1575,0.0385,-302.27
SQLDb-S2,1039106.73476,93293669102.86,0.0,99.92
VM-Standard_D2s,334581.86370000005,5072187.490130556,0.066,-80.96
VM-Standard_D4s,357916.66996,7946317.909675,0.045,-22.2
VM-Standard_D8s,385638.93792,4850486.453369444,0.0795,-1578.68
