Account_ID,Month,Total_Usage,Prev_Month_Usage,MoM_Usage_Change_Pct,Risk_Level
  AWS-ACCT-001 ,2026-02,3.6016,125994382.26,-100.0,Critical
  AWS-ACCT-006 ,2026-03,17126.94,67137766.37,-100.0,Critical
  AWS-ACCT-009 ,2026-03,23044.7808,165452976.0053,-100.0,Critical
  AWS-ACCT-017 ,2026-02,2.9575,132563289.6035,-100.0,Critical
  AWS-ACCT-020 ,2026-03,60935.75,168997466.965,-100.0,Critical
  AZ-ACCT-022 ,2026-02,71.7857,3286024379.73,-100.0,Critical
  AZ-ACCT-026 ,2026-03,3443.44,131847567.16,-100.0,Critical
  AZ-ACCT-024 ,2026-03,3.2922,32084.347400000002,-100.0,Critical
  AZ-ACCT-030 ,2026-03,2.2031,157634745.51,-100.0,Critical
  AZ-ACCT-031 ,2026-02,1.9683,9420.56,-100.0,Critical
  GCP-ACCT-042 ,2026-03,279.69,693513.03,-100.0,Critical
  AZ-ACCT-033 ,2026-03,4.7431,43936001.4256,-100.0,Critical
ACCT-005,2026-02,15782.04,166664556.0,-100.0,Critical
ACCT-007,2026-03,2.8099,40681916.5114,-100.0,Critical
ACCT-008,2026-03,16933.78,109506456.0,-100.0,Critical
AWS--ACCT-015,2026-03,1.9778,125935.0692,-100.0,Critical
ACCT-046,2026-03,66293.68,161607816.6,-100.0,Critical
AWS--ACCT-003,2026-03,2.5257,55113.0367,-100.0,Critical
AWS--ACCT-017,2026-03,27443.81,254645856.0,-100.0,Critical
AWS--ACCT-007,2026-03,7491.16,177149236.8,-100.0,Critical
AWS--ACCT-014,2026-03,4740.16,328720896.0,-100.0,Critical
ACCT-016,2026-03,0.2037,33764.65,-100.0,Critical
ACCT-039,2026-03,8558.66,109363486.26,-100.0,Critical
ACCT-038,2026-03,2.2749,137489904.0,-100.0,Critical
ACCT-012,2026-03,11298.98,5258969496.0,-100.0,Critical
ACCT-013,2026-02,16817.93,1043321760.0,-100.0,Critical
ACCT-016,2026-02,33764.65,154499578.01,-100.0,Critical
ACCT-009,2026-03,2.1194,293875094.71000004,-100.0,Critical
ACCT-004,2026-02,2.515,25558.2261,-100.0,Critical
AWS_ACCT_002,2026-03,4313.3399,118614820.41,-100.0,Critical
AWS--ACCT-020,2026-02,3.1469,341194494.55,-100.0,Critical
AWS--ACCT-018,2026-03,3731.04,8663436.0,-100.0,Critical
AZ-ACCT-029,2026-04,32862.09,6345234437.8944,-100.0,Critical
AWS_ACCT_018,2026-02,6.194800000000001,38980024.25,-100.0,Critical
AZ_ACCT_028,2026-03,4907.85,123365814.2,-100.0,Critical
AZ_ACCT_027,2026-02,0.782,3210.9,-100.0,Critical
CCT-033,2026-03,6.4948,44889014.0374,-100.0,Critical
GCP--ACCT-036,2026-02,0.7163,2062881.69,-100.0,Critical
AZ_ACCT_033,2026-02,266411.9,3445095780.8077,-100.0,Critical
AZ_ACCT_029,2026-03,105043.08499999999,222773472.0,-100.0,Critical
AWS_ACCT_015,2026-02,1546.88,36275328.0,-100.0,Critical
AZ--ACCT-032,2026-03,4.2191,84669732.0,-100.0,Critical
AWS_ACCT_013,2026-02,43227.75,87780132.0,-100.0,Critical
GCP_ACCT_050,2026-02,3847.1159,28209492.0,-100.0,Critical
GCP_ACCT_043,2026-02,11193.48,90155229.0,-100.0,Critical
aws-acct-005,2026-03,28371.629999999997,112330163.91,-100.0,Critical
aws-acct-006,2026-03,3.2956,176337216.0,-100.0,Critical
GCP--ACCT-044,2026-03,3.0819,89246412.0,-100.0,Critical
aws-acct-013,2026-02,3.4122,1296872150.4,-100.0,Critical
aws-acct-016,2026-02,42179.2857,172394971.2,-100.0,Critical
aws-acct-020,2026-03,4563.99,164151418.2,-100.0,Critical
az-acct-035,2026-02,583.4,1195364.5999999999,-100.0,Critical
gcp-acct-045,2026-02,0.6022,127586819.05,-100.0,Critical
gcp-acct-048,2026-02,1.8569,1450032.0,-100.0,Critical
az-acct-034,2026-02,4970.6858999999995,11088648.0,-100.0,Critical
aws-acct-015,2026-03,41858.83,36252985.7323,-99.9,Critical
aws-acct-018,2026-02,2055238.2,3928568760.0,-99.9,Critical
aws-acct-001,2026-02,33927.73,32596472.9003,-99.9,Critical
GCP_ACCT_039,2026-02,59723.1,67446210.48,-99.9,Critical
AZ_ACCT_035,2026-03,1.8492,3393.79,-99.9,Critical
CCT-032,2026-02,0.3627,719.96,-99.9,Critical
AWS--ACCT-009,2026-02,654819.0,512277082.83940005,-99.9,Critical
AZ_ACCT_035,2026-02,3393.79,5988349.497199999,-99.9,Critical
az-acct-033,2026-03,2064715.7197999998,1655629968.56,-99.9,Critical
aws-acct-011,2026-02,2.6676,3910.7,-99.9,Critical
az-acct-026,2026-03,111928.08,136573343.1156,-99.9,Critical
aws-acct-019,2026-02,55383.3335,50209093.66,-99.9,Critical
gcp-acct-049,2026-02,4435.0,1818870.6,-99.8,Critical
ACCT-040,2026-02,148966.8,74949768.0,-99.8,Critical
CCT-027,2026-02,5.706799999999999,3369.03,-99.8,Critical
AWS_ACCT_011,2026-03,453832.02,143069688.0,-99.7,Critical
AZ_ACCT_022,2026-03,9156.28,2617383.79,-99.7,Critical
az-acct-029,2026-02,658644.4222,194836433.02,-99.7,Critical
GCP_ACCT_045,2026-02,85028.4133,26502699.2552,-99.7,Critical
AZ_ACCT_025,2026-03,1034673.3991,240510420.0,-99.6,Critical
az-acct-022,2026-02,4.3625,822.87,-99.5,Critical
CCT-025,2026-03,812718.64,179660195.1469,-99.5,Critical
CCT-023,2026-02,772243.8,160694604.0,-99.5,Critical
  AZ-ACCT-025 ,2026-02,4844.3541000000005,899661.6,-99.5,Critical
AWS--ACCT-002,2026-02,9354.8587,1611496.8,-99.4,Critical
ACCT-036,2026-03,904151.1100000001,145277208.0,-99.4,Critical
AZ_ACCT_034,2026-02,9753.5,1417814.9500000002,-99.3,Critical
  AWS-ACCT-016 ,2026-02,19012.58,2803839.0527,-99.3,Critical
aws-acct-002,2026-03,20418.22,2462807.8254,-99.2,Critical
az-acct-028,2026-03,1167090.8900000001,153259128.0,-99.2,Critical
gcp-acct-038,2026-03,1041826.33,114885586.58,-99.1,Critical
AZ--ACCT-026,2026-02,42.89,4705.56,-99.1,Critical
GCP--ACCT-047,2026-02,1374453.6,140968908.0,-99.0,Critical
CCT-022,2026-03,1668251.4,169179336.22,-99.0,Critical
  AZ-ACCT-028 ,2026-03,1571376.02,156931650.78,-99.0,Critical
GCP_ACCT_047,2026-03,50795822.1557,4644407579.13,-98.9,Critical
GCP_ACCT_046,2026-02,1041060.1399999999,90990355.2,-98.9,Critical
  AWS-ACCT-005 ,2026-03,1823725.2,173125624.8,-98.9,Critical
  GCP-ACCT-050 ,2026-03,2507260.2,219847751.8179,-98.9,Critical
CCT-023,2026-03,9568.91,772243.8,-98.8,Critical
AWS--ACCT-010,2026-02,2189556.4099999997,178460640.0,-98.8,Critical
AWS--ACCT-011,2026-03,1689099.16,127642943.98,-98.7,Critical
  GCP-ACCT-039 ,2026-03,2324764.2026,179810892.0,-98.7,Critical
GCP_ACCT_040,2026-03,744598.489,51516720.0,-98.6,Critical
GCP--ACCT-043,2026-02,39184.73,2681077.2,-98.5,Critical
  GCP-ACCT-036 ,2026-03,1031140.5261,70892967.66,-98.5,Critical
AWS--ACCT-005,2026-03,4453.87,285258.61,-98.4,Critical
GCP--ACCT-049,2026-03,29420.09,1823616.7999999998,-98.4,Critical
AZ--ACCT-031,2026-02,2778577.2,167506276.2,-98.3,Critical
AWS_ACCT_008,2026-02,49549.22,2986168.8,-98.3,Critical
  GCP-ACCT-043 ,2026-02,2524893.22,130364280.0,-98.1,Critical
  GCP-ACCT-047 ,2026-02,5030346.0,253667351.4293,-98.0,Critical
ACCT-050,2026-02,52583.1998,2461635.0,-97.9,Critical
gcp-acct-037,2026-03,2296155.0,108551594.03,-97.9,Critical
GCP--ACCT-038,2026-03,4.2631,193.2374,-97.8,Critical
az-acct-031,2026-02,1396578.7861000001,60551280.0,-97.7,Critical
  GCP-ACCT-046 ,2026-02,2661.23,113005.87,-97.6,Critical
gcp-acct-046,2026-03,2362485.7679999997,88306740.0,-97.3,Critical
  AZ-ACCT-023 ,2026-02,2098946.45,72461254.2,-97.1,Critical
AWS--ACCT-006,2026-03,128226276.0,3786299543.1998,-96.6,Critical
GCP_ACCT_044,2026-03,56376.76,1623050.6789000002,-96.5,Critical
  AZ-ACCT-024 ,2026-02,32084.347400000002,874386.6,-96.3,Critical
GCP--ACCT-038,2026-02,193.2374,4870.2608,-96.0,Critical
  GCP-ACCT-038 ,2026-03,6966283.85,166708240.1034,-95.8,Critical
AZ--ACCT-028,2026-02,1385300.77,29226528.59,-95.3,Critical
AZ--ACCT-021,2026-02,1467.33,29184.95,-95.0,Critical
aws-acct-003,2026-02,21834.27,423286.8,-94.8,Critical
  AWS-ACCT-010 ,2026-03,99708765.2379,1794112172.9884,-94.4,Critical
  AZ-ACCT-034 ,2026-03,2156451.5,38800247.1,-94.4,Critical
AZ_ACCT_024,2026-02,1918317.8299999998,34526172.92,-94.4,Critical
AWS--ACCT-018,2026-02,8663436.0,153018036.0,-94.3,Critical
AWS--ACCT-005,2026-02,285258.61,4964868.0,-94.3,Critical
AWS_ACCT_020,2026-02,1804.79,28289.14,-93.6,Critical
AZ--ACCT-024,2026-02,6862580.0,101965013.65,-93.3,Critical
  AWS-ACCT-004 ,2026-03,1794491.2366,22856112.0,-92.1,Critical
gcp-acct-042,2026-02,34779.6,423137.53,-91.8,Critical
  AWS-ACCT-003 ,2026-02,3426334.4745,40394041.97,-91.5,Critical
AWS--ACCT-017,2026-02,254645856.0,2751045228.0,-90.7,Critical
AWS-ACCT-019,2026-03,1112962113.935,11072037454.3973,-89.9,Critical
AZ_ACCT_022,2026-02,2617383.79,25775221.93,-89.8,Critical
CCT-029,2026-03,42437.14,399740.4,-89.4,Critical
az-acct-024,2026-03,23312016.0,208046558.48000002,-88.8,Critical
aws-acct-004,2026-03,15412716.0,138144552.25689998,-88.8,Critical
gcp-acct-039,2026-03,3505.4981,30102.100000000002,-88.4,Critical
  AWS-ACCT-014 ,2026-03,1183432.2341,9313221.06,-87.3,Critical
GCP-ACCT-036,2026-03,1198276867.8243,9439628342.3724,-87.3,Critical
AZ-ACCT-024,2026-02,926054464.7389,7017008873.1926,-86.8,Critical
AWS-ACCT-018,2026-03,998366179.4193,7457918462.2447,-86.6,Critical
AWS-ACCT-006,2026-02,964225417.5423,7060838697.7424,-86.3,Critical
AWS--ACCT-019,2026-03,615.14,3686.39,-83.3,Critical
gcp-acct-042,2026-03,5803.76,34779.6,-83.3,Critical
AZ-ACCT-023,2026-02,415500113.8257,2454931742.4717,-83.1,Critical
AZ-ACCT-035,2026-02,887236946.0123,5172755456.9311,-82.8,Critical
AWS_ACCT_006,2026-03,32269258.2,185223289.45000002,-82.6,Critical
AZ-ACCT-032,2026-02,1419910505.7593,7880565940.518101,-82.0,Critical
  AZ-ACCT-021 ,2026-02,5445.42,29787.32,-81.7,Critical
GCP-ACCT-044,2026-02,3143868114.2303,16698542345.552,-81.2,Critical
GCP-ACCT-037,2026-02,1386540903.8693,7286651605.111,-81.0,Critical
AZ--ACCT-034,2026-03,4759.51,24785.48,-80.8,Critical
AZ_ACCT_033,2026-03,51132.67,266411.9,-80.8,Critical
CCT-030,2026-02,8219.05,41195.6487,-80.0,High
GCP-ACCT-049,2026-03,1322499721.2584,6451207691.6973,-79.5,High
ACCT-047,2026-02,178463.4,862749.5700000001,-79.3,High
GCP-ACCT-042,2026-03,2028233726.2423,9724239424.9833,-79.1,High
AWS-ACCT-007,2026-02,279539677.3098,1239381072.9906,-77.4,High
aws-acct-007,2026-02,2847009.91,12026282.47,-76.3,High
az-acct-023,2026-02,687419.4,2719904.4368000003,-74.7,High
GCP_ACCT_045,2026-03,22382.19,85028.4133,-73.7,High
GCP--ACCT-045,2026-02,641386.0344,2336724.0,-72.6,High
AZ-ACCT-021,2026-02,906799533.1659,3277496264.7717,-72.3,High
  AWS-ACCT-013 ,2026-02,35277984.0,123966936.0,-71.5,High
aws-acct-016,2026-03,12135.96,42179.2857,-71.2,High
AWS-ACCT-010,2026-02,543174297.9475,1733130232.1508,-68.7,High
AWS-ACCT-008,2026-02,1902628482.4224,6067135284.194799,-68.6,High
AWS_ACCT_010,2026-02,85984589.2674,274113800.3168,-68.6,High
aws-acct-008,2026-02,1780179.3045,5553389.81,-67.9,High
GCP_ACCT_044,2026-02,1623050.6789000002,4961573.88,-67.3,High
AZ--ACCT-030,2026-03,19947.83,60850.2,-67.2,High
GCP-ACCT-038,2026-02,1868335624.5225,5690227899.4478,-67.2,High
AWS_ACCT_002,2026-02,118614820.41,334902960.0,-64.6,High
AZ-ACCT-033,2026-03,2544488350.0934,6809237774.7607,-62.6,High
GCP-ACCT-041,2026-02,1915777168.8558,4920789031.9009,-61.1,High
AZ-ACCT-027,2026-02,1050810232.5892,2649983585.5155997,-60.3,High
GCP_ACCT_049,2026-03,101503647.73,252759394.708,-59.8,High
GCP-ACCT-043,2026-02,1145821752.5767,2777398395.6545,-58.7,High
AZ-ACCT-028,2026-02,3092296438.5391,7032684039.4016,-56.0,High
AWS-ACCT-011,2026-02,739643303.2801,1674057194.1461,-55.8,High
AWS-ACCT-001,2026-02,608901901.7524,1368959316.942,-55.5,High
ACCT-003,2026-03,64927080.4901,145762812.0,-55.5,High
AZ-ACCT-034,2026-03,2167063250.404,4675142406.9353,-53.6,High
AWS-ACCT-003,2026-03,4084545764.9948,8652344634.7928,-52.8,High
  GCP-ACCT-047 ,2026-03,2447463.77,5030346.0,-51.3,High
AWS-ACCT-016,2026-03,1020241078.8831999,2082427077.5446,-51.0,High
  AWS-ACCT-012 ,2026-03,42928020.0,86039680.4822,-50.1,High
