Account_ID,Infra_Cost_COGS,Estimated_Revenue,Gross_Profit,Gross_Margin_Pct,Status
AZ-ACCT-031,251324.5926,500.0,-250824.59,-50164.9,Loss_Making
AWS-ACCT-017,249230.6801,500.0,-248730.68,-49746.1,Loss_Making
AZ-ACCT-033,214802.1612,500.0,-214302.16,-42860.4,Loss_Making
AWS-ACCT-005,212363.62,500.0,-211863.62,-42372.7,Loss_Making
AZ-ACCT-024,205543.36440000002,500.0,-205043.36,-41008.7,Loss_Making
GCP-ACCT-037,202229.085,500.0,-201729.08,-40345.8,Loss_Making
AZ-ACCT-034,201506.17320000002,500.0,-201006.17,-40201.2,Loss_Making
AWS-ACCT-009,195445.507,500.0,-194945.51,-38989.1,Loss_Making
AWS-ACCT-013,193718.79,500.0,-193218.79,-38643.8,Loss_Making
AWS-ACCT-019,190417.2468,500.0,-189917.25,-37983.4,Loss_Making
GCP-ACCT-041,189729.7128,500.0,-189229.71,-37845.9,Loss_Making
AZ-ACCT-023,185821.7772,500.0,-185321.78,-37064.4,Loss_Making
AZ-ACCT-028,184300.4448,500.0,-183800.44,-36760.1,Loss_Making
AWS-ACCT-020,183898.0584,500.0,-183398.06,-36679.6,Loss_Making
AWS-ACCT-018,181344.43,500.0,-180844.43,-36168.9,Loss_Making
GCP-ACCT-042,179588.40480000002,500.0,-179088.4,-35817.7,Loss_Making
AWS-ACCT-003,179500.48200000002,500.0,-179000.48,-35800.1,Loss_Making
AZ-ACCT-025,173236.24440000003,500.0,-172736.24,-34547.2,Loss_Making
GCP-ACCT-039,172992.8341,500.0,-172492.83,-34498.6,Loss_Making
AZ-ACCT-022,167957.01,500.0,-167457.01,-33491.4,Loss_Making
AZ-ACCT-026,163444.68,500.0,-162944.68,-32588.9,Loss_Making
GCP-ACCT-047,160555.4028,500.0,-160055.4,-32011.1,Loss_Making
AWS-ACCT-004,154570.8,500.0,-154070.8,-30814.2,Loss_Making
AZ-ACCT-027,150011.55,500.0,-149511.55,-29902.3,Loss_Making
AZ-ACCT-035,148464.2628,500.0,-147964.26,-29592.9,Loss_Making
AWS-ACCT-014,146914.15,500.0,-146414.15,-29282.8,Loss_Making
AWS-ACCT-016,146713.83,500.0,-146213.83,-29242.8,Loss_Making
GCP-ACCT-046,143891.23,500.0,-143391.23,-28678.2,Loss_Making
AWS-ACCT-006,142793.28,500.0,-142293.28,-28458.7,Loss_Making
GCP-ACCT-049,142321.9,500.0,-141821.9,-28364.4,Loss_Making
GCP-ACCT-043,138651.68,500.0,-138151.68,-27630.3,Loss_Making
az-acct-025,27919.220400000002,500.0,-27419.22,-5483.8,Loss_Making
AZ_ACCT_024,15588.6444,500.0,-15088.64,-3017.7,Loss_Making
gcp-acct-037,15304.528699999999,500.0,-14804.53,-2960.9,Loss_Making
ACCT-006,14635.2,500.0,-14135.2,-2827.0,Loss_Making
az-acct-023,14052.7659,500.0,-13552.77,-2710.6,Loss_Making
aws-acct-014,13521.210000000001,500.0,-13021.21,-2604.2,Loss_Making
AWS_ACCT_003,13427.791200000001,500.0,-12927.79,-2585.6,Loss_Making
GCP_ACCT_049,13118.0,500.0,-12618.0,-2523.6,Loss_Making
AWS_ACCT_017,13112.1404,500.0,-12612.14,-2522.4,Loss_Making
AZ_ACCT_025,12565.486799999999,500.0,-12065.49,-2413.1,Loss_Making
  AWS-ACCT-003 ,12000.042000000001,500.0,-11500.04,-2300.0,Loss_Making
GCP_ACCT_037,11902.7956,500.0,-11402.8,-2280.6,Loss_Making
AWS--ACCT-017,11372.2404,500.0,-10872.24,-2174.4,Loss_Making
GCP--ACCT-047,10830.726,500.0,-10330.73,-2066.1,Loss_Making
aws-acct-016,10795.41,500.0,-10295.41,-2059.1,Loss_Making
AWS_ACCT_004,10729.65,500.0,-10229.65,-2045.9,Loss_Making
AWS--ACCT-009,10529.722399999999,500.0,-10029.72,-2005.9,Loss_Making
AWS--ACCT-020,10500.354000000001,500.0,-10000.35,-2000.1,Loss_Making
AWS_ACCT_009,10433.431,500.0,-9933.43,-1986.7,Loss_Making
ACCT-046,10136.8,500.0,-9636.8,-1927.4,Loss_Making
  GCP-ACCT-047 ,9942.7716,500.0,-9442.77,-1888.6,Loss_Making
GCP_ACCT_047,9569.178,500.0,-9069.18,-1813.8,Loss_Making
aws-acct-019,9005.5319,500.0,-8505.53,-1701.1,Loss_Making
  AWS-ACCT-019 ,8789.7335,500.0,-8289.73,-1657.9,Loss_Making
aws-acct-006,8762.02,500.0,-8262.02,-1652.4,Loss_Making
aws-acct-018,8753.71,500.0,-8253.71,-1650.7,Loss_Making
ACCT-020,8738.3988,500.0,-8238.4,-1647.7,Loss_Making
  GCP-ACCT-046 ,8724.12,500.0,-8224.12,-1644.8,Loss_Making
ACCT-039,8679.8785,500.0,-8179.88,-1636.0,Loss_Making
AZ--ACCT-031,8480.0186,500.0,-7980.02,-1596.0,Loss_Making
GCP_ACCT_039,8421.6621,500.0,-7921.66,-1584.3,Loss_Making
  AZ-ACCT-023 ,8226.8822,500.0,-7726.88,-1545.4,Loss_Making
az-acct-024,8214.0156,500.0,-7714.02,-1542.8,Loss_Making
  GCP-ACCT-039 ,7832.6996,500.0,-7332.7,-1466.5,Loss_Making
az-acct-033,7664.4684,500.0,-7164.47,-1432.9,Loss_Making
AZ--ACCT-022,7662.52,500.0,-7162.52,-1432.5,Loss_Making
AZ--ACCT-027,7659.27,500.0,-7159.27,-1431.9,Loss_Making
AWS_ACCT_006,7461.0,500.0,-6961.0,-1392.2,Loss_Making
az-acct-034,7279.4484,500.0,-6779.45,-1355.9,Loss_Making
  AZ-ACCT-028 ,7273.4976000000015,500.0,-6773.5,-1354.7,Loss_Making
aws-acct-020,7204.7232,500.0,-6704.72,-1340.9,Loss_Making
  AWS-ACCT-020 ,6993.8964,500.0,-6493.9,-1298.8,Loss_Making
az-acct-026,6896.01,500.0,-6396.01,-1279.2,Loss_Making
GCP_ACCT_042,6842.880000000001,500.0,-6342.88,-1268.6,Loss_Making
AZ--ACCT-024,6718.107600000001,500.0,-6218.11,-1243.6,Loss_Making
gcp-acct-043,6506.98,500.0,-6006.98,-1201.4,Loss_Making
  AWS-ACCT-009 ,6435.0011,500.0,-5935.0,-1187.0,Loss_Making
GCP--ACCT-043,6425.58,500.0,-5925.58,-1185.1,Loss_Making
CCT-026,6420.37,500.0,-5920.37,-1184.1,Loss_Making
  AWS-ACCT-017 ,6104.2169,500.0,-5604.22,-1120.8,Loss_Making
AZ_ACCT_031,6030.5569,500.0,-5530.56,-1106.1,Loss_Making
aws-acct-005,6023.04,500.0,-5523.04,-1104.6,Loss_Making
GCP_ACCT_041,5874.984,500.0,-5374.98,-1075.0,Loss_Making
AWS_ACCT_019,5810.3516,500.0,-5310.35,-1062.1,Loss_Making
gcp-acct-041,5801.868,500.0,-5301.87,-1060.4,Loss_Making
AWS_ACCT_020,5795.7984,500.0,-5295.8,-1059.2,Loss_Making
  AZ-ACCT-034 ,5708.1672,500.0,-5208.17,-1041.6,Loss_Making
GCP--ACCT-041,5694.634800000001,500.0,-5194.63,-1038.9,Loss_Making
ACCT-009,5518.670700000001,500.0,-5018.67,-1003.7,Loss_Making
AZ_ACCT_034,5495.6124,500.0,-4995.61,-999.1,Loss_Making
az-acct-031,5488.5844,500.0,-4988.58,-997.7,Loss_Making
ACCT-016,5486.92,500.0,-4986.92,-997.4,Loss_Making
AWS_ACCT_014,5486.33,500.0,-4986.33,-997.3,Loss_Making
az-acct-028,5444.4204,500.0,-4944.42,-988.9,Loss_Making
CCT-022,5419.4400000000005,500.0,-4919.44,-983.9,Loss_Making
AWS_ACCT_018,5282.01,500.0,-4782.01,-956.4,Loss_Making
gcp-acct-042,5173.0812000000005,500.0,-4673.08,-934.6,Loss_Making
ACCT-004,4973.8099999999995,500.0,-4473.81,-894.8,Loss_Making
AZ--ACCT-025,4913.6976,500.0,-4413.7,-882.7,Loss_Making
  AWS-ACCT-005 ,4865.37,500.0,-4365.37,-873.1,Loss_Making
AZ_ACCT_033,4832.298,500.0,-4332.3,-866.5,Loss_Making
  AZ-ACCT-025 ,4823.820000000001,500.0,-4323.82,-864.8,Loss_Making
GCP_ACCT_046,4748.9,500.0,-4248.9,-849.8,Loss_Making
  AWS-ACCT-016 ,4743.3099999999995,500.0,-4243.31,-848.7,Loss_Making
CCT-025,4694.598,500.0,-4194.6,-838.9,Loss_Making
ACCT-049,4639.530000000001,500.0,-4139.53,-827.9,Loss_Making
  AZ-ACCT-026 ,4521.820000000001,500.0,-4021.82,-804.4,Loss_Making
gcp-acct-047,4509.0756,500.0,-4009.08,-801.8,Loss_Making
aws-acct-009,4471.3779,500.0,-3971.38,-794.3,Loss_Making
ACCT-017,4442.802900000001,500.0,-3942.8,-788.6,Loss_Making
AWS--ACCT-003,4265.3952,500.0,-3765.4,-753.1,Loss_Making
ACCT-003,4255.092000000001,500.0,-3755.09,-751.0,Loss_Making
az-acct-035,4186.1448,500.0,-3686.14,-737.2,Loss_Making
  GCP-ACCT-042 ,4147.254,500.0,-3647.25,-729.4,Loss_Making
  AWS-ACCT-018 ,4139.9,500.0,-3639.9,-728.0,Loss_Making
AWS_ACCT_005,4084.0,500.0,-3584.0,-716.8,Loss_Making
  AZ-ACCT-035 ,4010.9148,500.0,-3510.91,-702.2,Loss_Making
AWS--ACCT-006,4011.1,500.0,-3511.1,-702.2,Loss_Making
  GCP-ACCT-037 ,3973.8808000000004,500.0,-3473.88,-694.8,Loss_Making
gcp-acct-039,3871.2140000000004,500.0,-3371.21,-674.2,Loss_Making
  GCP-ACCT-043 ,3869.75,500.0,-3369.75,-673.9,Loss_Making
aws-acct-013,3857.48,500.0,-3357.48,-671.5,Loss_Making
  AWS-ACCT-013 ,3782.7200000000003,500.0,-3282.72,-656.5,Loss_Making
AZ_ACCT_028,3681.4716000000003,500.0,-3181.47,-636.3,Loss_Making
  AZ-ACCT-022 ,3655.63,500.0,-3155.63,-631.1,Loss_Making
AZ_ACCT_035,3631.5000000000005,500.0,-3131.5,-626.3,Loss_Making
AWS--ACCT-018,3565.54,500.0,-3065.54,-613.1,Loss_Making
  AWS-ACCT-014 ,3517.87,500.0,-3017.87,-603.6,Loss_Making
AWS--ACCT-005,3502.82,500.0,-3002.82,-600.6,Loss_Making
  AWS-ACCT-004 ,3490.31,500.0,-2990.31,-598.1,Loss_Making
  GCP-ACCT-041 ,3446.1288000000004,500.0,-2946.13,-589.2,Loss_Making
CCT-035,3438.666,500.0,-2938.67,-587.7,Loss_Making
AWS--ACCT-013,3321.0,500.0,-2821.0,-564.2,Loss_Making
  AZ-ACCT-027 ,3248.0899999999997,500.0,-2748.09,-549.6,Loss_Making
  AZ-ACCT-033 ,3166.7868,500.0,-2666.79,-533.4,Loss_Making
gcp-acct-049,3150.3500000000004,500.0,-2650.35,-530.1,Loss_Making
ACCT-037,3139.5797000000002,500.0,-2639.58,-527.9,Loss_Making
AZ--ACCT-023,2983.2427000000002,500.0,-2483.24,-496.6,Loss_Making
  AZ-ACCT-031 ,2940.0245999999997,500.0,-2440.02,-488.0,Loss_Making
GCP--ACCT-049,2920.85,500.0,-2420.85,-484.2,Loss_Making
GCP--ACCT-039,2914.9802,500.0,-2414.98,-483.0,Loss_Making
AZ_ACCT_023,2900.5784,500.0,-2400.58,-480.1,Loss_Making
ACCT-019,2847.3908,500.0,-2347.39,-469.5,Loss_Making
ACCT-005,2701.77,500.0,-2201.77,-440.4,Loss_Making
GCP_ACCT_043,2693.66,500.0,-2193.66,-438.7,Loss_Making
AWS--ACCT-004,2676.1299999999997,500.0,-2176.13,-435.2,Loss_Making
ACCT-018,2641.4,500.0,-2141.4,-428.3,Loss_Making
AZ_ACCT_022,2557.98,500.0,-2057.98,-411.6,Loss_Making
AWS_ACCT_013,2322.3199999999997,500.0,-1822.32,-364.5,Loss_Making
ACCT-041,2317.5396,500.0,-1817.54,-363.5,Loss_Making
GCP--ACCT-037,2290.3815,500.0,-1790.38,-358.1,Loss_Making
AWS--ACCT-014,2251.47,500.0,-1751.47,-350.3,Loss_Making
GCP-ACCT-045,2203.0122,500.0,-1703.01,-340.6,Loss_Making
GCP-ACCT-040,2180.66172,500.0,-1680.66,-336.1,Loss_Making
AZ--ACCT-028,2169.234,500.0,-1669.23,-333.8,Loss_Making
GCP-ACCT-050,2152.3962,500.0,-1652.4,-330.5,Loss_Making
GCP-ACCT-048,2098.25736,500.0,-1598.26,-319.7,Loss_Making
AZ-ACCT-030,2095.96248,500.0,-1595.96,-319.2,Loss_Making
  AWS-ACCT-006 ,2082.57,500.0,-1582.57,-316.5,Loss_Making
AZ-ACCT-032,2082.65112,500.0,-1582.65,-316.5,Loss_Making
  AZ-ACCT-024 ,2063.8152,500.0,-1563.82,-312.8,Loss_Making
AWS-ACCT-002,2061.32148,500.0,-1561.32,-312.3,Loss_Making
aws-acct-017,2050.0975,500.0,-1550.1,-310.0,Loss_Making
  GCP-ACCT-049 ,2026.6399999999999,500.0,-1526.64,-305.3,Loss_Making
AWS-ACCT-007,1989.34812,500.0,-1489.35,-297.9,Loss_Making
AWS-ACCT-011,1976.5278,500.0,-1476.53,-295.3,Loss_Making
GCP-ACCT-036,1974.12636,500.0,-1474.13,-294.8,Loss_Making
GCP-ACCT-044,1917.01212,500.0,-1417.01,-283.4,Loss_Making
AZ-ACCT-029,1907.66604,500.0,-1407.67,-281.5,Loss_Making
AWS-ACCT-001,1874.11932,500.0,-1374.12,-274.8,Loss_Making
ACCT-013,1864.0,500.0,-1364.0,-272.8,Loss_Making
