Service_Clean,Region_Clean,AWS,AZURE,GCP,Total_MultiCloud_Spend
Compute,ap-south-1,259555.60074,0.0,0.0,259555.60074
Compute,westeurope,0.0,258372.88918,0.0,258372.88918
Database,ap-southeast-1,252619.769,0.0,0.0,252619.769
Compute,us-west-2,250128.9081,0.0,0.0,250128.9081
Compute,us-east-1,234045.31322,0.0,0.0,234045.31322
Compute,ap-southeast-1,226890.51672,0.0,0.0,226890.51672
Database,eu-west-1,226822.01276,0.0,0.0,226822.01276
Compute,canadacentral,0.0,225749.45424000002,0.0,225749.45424000002
Database,ap-south-1,218368.85726000002,0.0,0.0,218368.85726000002
Compute,southeastasia,0.0,218028.85160000002,0.0,218028.85160000002
Database,canadacentral,0.0,214496.78912,0.0,214496.78912
Database,eastus,0.0,210395.1415,0.0,210395.1415
Compute,eu-west-1,209921.3469,0.0,0.0,209921.3469
Database,us-west-2,204779.69262000002,0.0,0.0,204779.69262000002
Database,us-east-1,201472.3966,0.0,0.0,201472.3966
Database,centralindia,0.0,199354.43538,0.0,199354.43538
Database,southeastasia,0.0,188299.893,0.0,188299.893
Compute,centralindia,0.0,188150.60814,0.0,188150.60814
Database,westeurope,0.0,178840.20166,0.0,178840.20166
Compute,europe-west1,0.0,0.0,178329.44962,178329.44962
Compute,eastus,0.0,177144.1766,0.0,177144.1766
Database,asia-southeast1,0.0,0.0,170583.725,170583.725
Database,europe-west1,0.0,0.0,161761.0683,161761.0683
Database,asia-south1,0.0,0.0,157689.66312,157689.66312
Compute,us-west1,0.0,0.0,153885.242,153885.242
Compute,asia-south1,0.0,0.0,147025.41062,147025.41062
Database,us-central1,0.0,0.0,141591.28406,141591.28406
Compute,us-central1,0.0,0.0,128493.83136000001,128493.83136000001
Compute,asia-southeast1,0.0,0.0,123418.16832000001,123418.16832000001
Database,UNKNOWN,40407.7789,54003.332140000006,3737.4204600000003,98148.5315
Database,us-west1,0.0,0.0,98006.6986,98006.6986
Compute,UNKNOWN,51541.5638,32764.24504,3090.7216799999997,87396.53052000001
Storage,eastus,0.0,42640.36032,0.0,42640.36032
Storage,us-west-2,39768.02748,0.0,0.0,39768.02748
Storage,centralindia,0.0,34229.07192,0.0,34229.07192
Storage,ap-southeast-1,32828.16686,0.0,0.0,32828.16686
Storage,us-east-1,29974.93882,0.0,0.0,29974.93882
Storage,eu-west-1,29479.88172,0.0,0.0,29479.88172
Storage,asia-south1,0.0,0.0,27011.86934,27011.86934
Storage,canadacentral,0.0,25525.200360000003,0.0,25525.200360000003
Storage,us-central1,0.0,0.0,24158.52224,24158.52224
Storage,southeastasia,0.0,24135.4016,0.0,24135.4016
Storage,westeurope,0.0,21362.84566,0.0,21362.84566
Storage,ap-south-1,19313.92314,0.0,0.0,19313.92314
Storage,europe-west1,0.0,0.0,17848.42484,17848.42484
Storage,asia-southeast1,0.0,0.0,14686.96924,14686.96924
Storage,us-west1,0.0,0.0,14063.275160000001,14063.275160000001
Storage,UNKNOWN,10872.10228,2436.3824400000003,231.91219999999998,13540.396920000001
