Resource_ID,Ticket_ID,Anomaly_Events_Count,Peak_Z_Score,Total_Compromise_Cost
az-vm-141,T-016,1,22.591,4233.0
gcp-inst-234,T-124,1,52.308,3783.14
aws-ec2-002,T-104,2,31.963,3457.2702000000004
aws-ec2-109,T-079,1,38.504,3418.1244
aws-ec2-999,T-107,1,16.456,2975.86
gcp-inst-238,T-021,1,50.604,2617.0020000000004
aws-ec2-110,T-132,1,,2429.8021
az-vm-194,T-002,1,34.41,1695.4488
az-vm-153,T-081,1,31.418,1663.9413000000002
az-vm-146,T-076,1,27.241,1591.9632
az-vm-151,T-132,2,4.55,938.8856
aws-ec2-091,T-055,1,40.039,818.46
gcp-inst-228,T-104,1,109.999,646.2072000000001
aws-ec2-056,T-179,1,27.85,636.39
aws-ec2-018,T-073,1,19.471,468.98
az-vm-125,T-192,1,93.48,441.828
gcp-inst-272,T-103,1,57.693,435.4195
az-vm-124,T-161,2,25.636,317.56
az-vm-202,T-167,1,26.861,271.91
aws-ec2-076,T-012,1,40.262,231.6988
gcp-inst-277,T-076,1,57.292,152.1396
gcp-inst-206,T-167,1,50.749,134.8486
aws-ec2-083,T-054,1,31.48,122.2992
aws-ec2-098,T-177,2,65.399,118.3
gcp-inst-245,T-103,1,11.111,45.21
aws-ec2-999,T-007,1,3.927,33.71
gcp-inst-275,T-025,1,94.51,32.07108
az-vm-999,T-167,1,51.97,30.38988
aws-ec2-105,T-124,1,66.803,25.5282
gcp-inst-241,T-029,1,28.619,25.2006
gcp-inst-257,T-027,1,17.798,18.72732
gcp-inst-260,T-197,1,34.612,17.580000000000002
az-vm-194,T-192,1,31.623,16.88184
gcp-inst-224,T-026,1,67.463,15.59688
gcp-inst-241,T-150,1,55.512,12.41496
aws-ec2-104,T-137,1,14.318,11.71
aws-ec2-999,T-081,1,45.627,11.66808
aws-ec2-063,T-047,1,80.905,8.56152
aws-ec2-010,T-002,1,119.049,5.09748
aws-ec2-103,T-015,1,63.637,3.04152
aws-ec2-113,T-197,1,73.902,2.26416
gcp-inst-999,T-007,1,5.979,1.13904
gcp-inst-270,T-081,1,59.379,-46.758120000000005
